year,date,parents 1,parents 2,child,sponsors 1,sponsors 2,sponsors 3,sponsors 4,sponsors 5,parent last,sponsors 1 first,sponsors 1 middle,sponsors 1 last,sponsors 2 middle,sponsors 2 last,sponsors 2 first,sponsors 3 middle,sponsors 3 last,sponsors 3 first
1711,Nov 1,Herman Ranerser,Gertraud Jenicka Ohrstrohm Ranerser,Meinhard b. Mar (15?) bap in Pagespen,Jacobus Von Den Bogard,,,,,Ranerser,Jacobus,Von Den,Bogard,,,,,,
1711,Nov 6,Simon Erhard,Anna Margretha Erhard,Maria; Catharina bap in upper Colonies,Johan Niclaus Schast,Maria Catharina Schast,,,,Erhard,Johan,Niclaus,Schast,Catharina,Schast,Maria,,,
1711,Nov 6,Johan Michael Freymeyer,Anna Elisabetha Freymeyer,Anna Eva bap in upper Colonies,Melchior Volz,Anna Eva Volz,,,,Freymeyer,Melchior,,Volz,Eva,Volz,Anna,,,
1711,Nov 7,Henrich Glock,Maria Margretha Glock,Johannes b. Oct 30 bap in upper Colonies,Johan Hainor,,,,,Glock,Johannes,,Hainor,,,,,,
1711,Nov 7,Wilhelm Simon,Anna Maria Simon,Johan Ulrich b. Oct 26 bap in upper Colonies,Johan Ulrich Beranhard,Eleanora Catharina Gistler,David Gistler,,,Simon,Johan,Ulrich,Beranhard,Catharina,Gistler,Eleanora,,Gistler,David
1711,Nov 11,Henrich Jung,Anna Margretha Jung,Maria; Catharina b. Oct 28 bap in upper Colonies,Jacob Zimmerman,Maria Porst,Jacob Porster,Jorg Matthesen,wife of Jorg Matthesen,Jung,Jacob,,Zimmerman,,Porster,Maria,,Porster,Jacob
1711,Nov 12,Johan Stahl,Anna Ursula Stahl,Anna; Maria b.Oct 31 bap in upper Colonies,Johan Peter Oberbach,Anna Maria Kuster,Anna Elisabetha Muller,Wilhelm Kuster,,Stahl,Johan,Peter,Oberbach,Maria,Kuster,Anna,Elisabetha,Muller,Anna
1711,Nov 17,Gerhard Wallrath,Anna Catharina Wallrath,Christina;; Elisabetha b. Nov 8 bap in upper Colonies,,Christina Elisabeth Jager,,,,Wallrath,,,,Jagerin,Christina,Elisabetha,,,
1711,Nov 18,Albracht Schreiber,Eva Schreiber,Anna; Margretha b. Nov 13 bap in upper Colonies,Hans Henrich Hainor,Christian Sittig,wife of Christian Sittig,,,Schreiber,Hans,Henrich,Hainor,,Sittig,Christian,of Christian,Sittig,wife
1711,Nov 18,Veltin Kuhn,Anna Catharina Kuhn,Johanna; Elisabeth; Margretha b. Nov 1 bap in upper Colonies,Herman Segendorst,Anna Elisabetha Wisen,Anna Margaretha Schast,,,Kuhn,Herman,,Segendorst,Elisabetha,Wisen,Anna,Margaretha,Schast,Anna
1711,Nov 18,Hartman Windecker,Barbara Elisabetha Windecker,Johann Henrich b Nov 12 bap in upper Colonies,Johan Henrich Bellinger,,,,,Windecker,Johan,Henrich,Bellinger,,,,,,
1711,Nov 19,Daniel Schampnor,Johanna Schampnor,Paul b. Nov 12 bap in upper Colonies,Paul Burnet,Martha Bertram,,,,Schampnor,Paul,,Burnet,,Bertram,Martha,,,
1711,Nov 20,Sebastian Spickermann,Anna Elisabetha Spickermann,Philip Peter b Nov 16 bap in upper Colonies,Philip Muller,Johan Peter Helm,Anna Elisabetha Schast,,,Spickermann,Philip,,Muller,Peter,Helm,Johan,Elisabetha,Schast,Anna
1711,Nov 25,Hans Jorg Romer,Elisabetha Romer,Johann Adam b. Nov 20 bap in upper Colonies,Johan Adam Zoller,Magdalena Trambauer,,,,Romer,Johan,Adam,Zoller,,Trambauer,Magdalena,,,
1711,Nov 28,Just Henrich Bast,Anna Dorothea Bast,Anna; Maria b. Nov 22 bap in upper Colonies,Johan Muller,Anna Elisabetha Stahl,Anna Juliana Maul,,,Bast,Johannes,,Muller,Elisabetha,Stahl,Anna,Juliana,Maul,Anna
1711,Nov 29,Johan Peter Dippel,Anna Catharina Dippel,Anna Eva b.Nov 23 bap in upper Colonies,Eva Catharina Manck,Anna Elisabeth Jung,Johan Balthasar Kuster,Gottfrid Ruhl,,Dippel,Eva,Catharina,Manck,,Jung,Elisabetha,Balthasar,Kuster,Johan
1711,Dec 2,Albrecht Dietrich Marterstock,Elisabetha Marterstock,Johann Dietrich b. Nov 26 bap in upper Colonies,Dietrich Castlmann,Margaretha Waidknacht,,,,Marterstock,Dietrich,,Castlmann,,Waidknacht,Margaretha,,,
1711,Dec 9,Johan Cuntz,Maria Catharina Cuntz,Ludwig b. Dec 6 bap in upper Colonies,Ludwig Bersht,,,,,Cuntz,Ludwig,,Bersht,,,,,,
1711,Dec 13,Johan Wilhelm Dieterich,Anna Margretha Dieterich,Jorg Wilhelm b. Dec 5 bap in upper Colonies,Georg Wilhelm Kohl,Maria Dorothea Demuth,,,,Dieterich,Georg,Wilhelm,Kohl,Dorothea,Demuth,Maria,,,
1711,Dec 21,Johan Peter Lastner,Magdalena Lastner,Juliana;; Elisabetha b. Dec 17 bap in upper Colonies,Andreas Waidknacht,Elisabetha Flegler,Juliana Motsh,,,Lastner,Andreas,,Waidknacht,,Flegler,Elisabetha,,Motsh,Juliana
1711,Dec 23,Johann Philipp Ruger,Anna Margretha Ruger,Johannes b. Dec 20 bap in upper Colonies,Johan Muller,,,,,Ruger,Johannes,,Muller,,,,,,
1711,Dec 26,Friedrich Merckel,Anna Barbara Merckel,Johan Adam b. Dec 10 bap in upper Colonies,Johan Adam Friderich,Regina Friderich,,,,Merckel,Johan,Adam,Friderich,,Friderich,Regina,,,
1711,Dec 30,Martin Stein,Anna Maria Stein,Anna; Maria b. Dec 29 bap in upper Colonies,Peter Wickhaus,Anna Maria Muller,,,,Stein,Peter,,Wickhaus,Maria,Muller,Anna,,,
1711,Dec 31,Wilhelm Schutt,Helena Schutt,Margreth b. Nov 9 bap in upper Colonies,Henrich Chisem,Margaretha Schutt,Anna Catharina Lutt,,,Schutt,Henrich,,Chisem,,Schutt,Margaretha,Catharina,Lutt,Anna
1711,Dec 31,Henrich Meyer,Anna Kunigunda Meyer,Anna; Maria b. Dec 26 bap in upper Colonies,Johan Schast,Maria Sibylla Matheus,Anna Elisabetha Dachstetter,Jacob German,,Meyer,Johan,,Schast,Sibylla,Matheus,Maria,Elisabetha,Dachstetter,Anna
1719,Feb 1,Balthasar Anspach,Anna Maria Anspach,Maria Barbara b. Jan 28,Henrich Schast,Anna Maria Propert,,,,Anspach,Henrich,,Schast,Maria,Propert,Anna,,,
1719,Feb 1,Andreas Schurtz,Catharina Appolonia Schurtz,Anna; Catharina;;;b. Jan 25,Georg Schurtz,Anna Catharina Philip,Peter Philip,,,Schurtz,Georg,,Schurtz,Catharina,Philip,Anna,,Philip,Peter
1719,Feb 1,Philip Launert,Anna Margretha Launert,(Johann) Philipp;;;b. Jan 23,Jacob Schast,Henrich Schneider,Susanna Schneider,,,Launert,Jacob,,Schast,,Schneider,Henrich,,Schneider,Susanna
1719,Feb 1,Johan Christian Dieterich,Anna Maria Dieterich,Anna; Maria;;;b. Jan 29,Abraham Lang,wife of Friderich Rau,,,,Dieterich,Abraham,,Lang,of Friderich,Rau,wife,,,
1719,Feb 1,Jacob Esswein,,Veronica,,Anna Maria Schneider,,,,Esswein,,,,Maria,Schneider,Anna,,,
1719,Feb 2,Georg Saltmann,Anna Margretha Saltmann,"Anna; Margretha b. Nov 3, 1718",Johan Fridrich Zipperl,Anna Margretha Backus,,,,Saltmann,Johan,Fridrich,Zipperl,Margretha,Backus,Anna,,,
1719,Feb 6,Just Henrich Schaster,Agnes Schast,Johannes b. Jan 22,Johan Ritzbackus,wife of Johann Reitz Backus,,,,Schaster,Johan,Reitz,Backus,of Johann Reitz,Backus,wife,,,
1719,Feb 7,Niclaus Ohmich,Anna Catharina Ohmich,Lorentz b. Feb 6,Laurens Thater,Johan Lamert,wife of Johann Lamert,,,Ohmich,Laurens,,Thater,,Lamert,Johan,of Johann,Lamert,wife
1719,Feb 20,Johann Fridrich Merckel,Barbara Merckel,Elisabetha b. Feb 16,Johan Kle,wife of Johann Kle,,,,Merckel,Johan,,Kle,of Johann,Kle,wife,,,
1719,Mar 15,Johan Strauss,Maria Elisabeth Strauss,Maria;; Elisabetha;;;b. Mar 9,Friedrich Streit,Elisabetha Herdel,Catharina Kuhlman,,,Straup,Friedrich,,Streit,,Herdel,Elisabetha,,Kuhlman,Catharina
1719,Mar 15,Herman Hummel,Anna Margretha Hummel,Peter b. Mar 8,Johan Schneider,Eva Schuch,,,,Hummel,Johannes,,Schneider,,Schuch,Eva,,,
1719,Mar 30,Veit Mossig,Maria Catharina Mossig,Susanna; Catharina b. Feb 1,Henrich Ludwig,wife of Henrich Ludwig,,,,Mossig,Henrich,,Ludwig,of Henrich,Ludwig,wife,,,
1719,Mar 30,Conrad Wust,Maria Apollonia Wust,Anna;; Elisabetha;;;b. Mar 17,Johan Leick,Anna Elisabetha Zerb,,,,Wust,Johan,,Leick,Elisabetha,Zerb,Anna,,,
1719,Apr 12,Niclaus Trombour,Magdalena Trambauer,Johannes b. Apr 5,Johan Emerich,Margaretha Emerich,,,,Trombour,Johannes,,Emerich,,Emerich,Margaretha,,,
1719,Apr 19,Albrecht Dietrich Marterstock,Elisabetha Marterstock,Maria; Christina;;;b. Apr 17,Wilhelm Brandau,Christina Brunck,,,,Marterstock,Wilhelm,,Brandau,,Brunck,Christina,,,
1719,Apr 26,Hieronymus Scheib,Anna Catharina Scheib,Fridrich b. Apr 18,Johan Friderich Haeger,Christiana Vos,Friedrich Schram,,,Scheib,Johan,Friderich,Haeger,,Vos,Christina,,Schram,Friedrich
