year,source,target
1684,Pieter Cornelise van Steenwyck,Hendrick Aert
1684,Tade Michielse,Anna Steynmets
1684,Merselis Pieterse,Pietertie van de Voorst
1684,Geertie 1 Gerritse,Niesse Pieterse
1684,Frederick Thomase,Catharina Hoppe
1685,Helmich Roelofse,Jannitie Pieterse
1685,Lubbert Lubberts,Hilletie Poulus
1685,Laurus Arentsen Tours,Franseyntje Thomase
1685,Johannes 1 Spier,Maria Franse
1685,Peter Hesselse,Elizabeth 1 Gerritse
1685,Roelof Vanderlinden,Susanna Hendriksz
1685,Claes Arentse Toers,Jacomin van Neste
1685,Cornelius Verwey,Hendrick Janse Oosteroom
1685,Hendrick 1 Hoppe,Maritie Jansz
1685,Sibe Epkese,Maritie Ariaens Sips
1685,Baltus Barentse van Kleek,Tryntie Janse Buys
1685,Hans Spier,Tryntie Pieterse
1685,Hartman Michielse Vreelant,Maritie Dirckse Braack
1686,Cornelius Roelofse,Madalena van Giesen
1686,Jan Hermense,Neeltie Jansz
1686,Abraham Dutoiet,Jannitie Boke
1686,Teunis Janse Spier,Catharina Thomase
1686,Casper Cornelise Pruis,Neeltie Jansz
1686,Reynier Josiassen van Roen,Constantina van de Swalme
1686,Gileam Bertolf,Marteynje Hendriksz
1686,Antoine de Lacombe,Stintie Jansz
1686,Francois de Smidt,Cathalina Coetens
1686,Simon Jacobs,Annatie Ariaens Sips
1686,Geertie Steynmets,Vroutje Claese
1686,Jacob 1 Jacobse van Winkel,Aeltie Daniels
1686,Cristoffel Steynmets,Jannitie Gerritse
1686,Arien Pieterse Buys,Tryntie Hendrickse Oosterum
1686,Johannes Michielse Vreelant,Claes Dirckse Braack
1687,Johannes 1 Spier,Maria Franse
1687,Cornelius Doremus,Jannitie Joris van Elslant
1687,Claes Arentse Toers,Jacomin van Neste
1687,Laurus Arentsen Tours,Franseyntje Thomase
1687,Teunis Roelofse,Tryntie Claese
1687,Walingh Jacobs,Catharina Michielse
1687,Mattheus Cornelis,Catharina Poulus
1687,Cornelis 1 van de Voorst,Feytie Gerritse
1687,Hans Spier,Freyntje Pieterse
1687,Peter Hesselse,Elizabeth 1 Gerritse
1687,Cornelius Roelofse,Madalena van Giesen
1687,Helmich Roelofse,Jannitie Pieterse
1687,Helmich Roelofse,Jannitie Pieterse
1688,Cornelius Verwey,Hendrick Janse Oosteroom
1688,Antoine de Lacombe,Stintie Jansz
1688,Simon Jacobse van Winkel,Annatie Ariaens Sips
1688,Arien Tomase,Mayke Cobase
1688,Adriaen 1 Post,Catharina Gerritse
1688,Abraham Bockque,Tanneke Jacobse Van Dries
1688,Claes Hendrickse Volk,Willemtie Hendrickse Spier
1688,Abraham Dutoiet,Jannitie Boke
1688,Teunis Janse Spier,Catharina Thomase
1688,Cristoffel Steynmets,Jannitie Gerritse
1688,Geertie Steynmets,Vroutje Claese
1688,Peter Poulus,Tryntie Hans Jacobs
1688,Baltus Barentse van Kleek,Tryntie Jansz
1688,Mattheus Cornelis,Catharina Poulus
1689,Jacob Jacobs,Aeltie Daniels
1689,Claes Gerbrantse,Maritie Claese
1689,Arien Pieterse Buys,Tryntie Hendrickse Oosterum
1689,Johannes 1 Spier,Maria Franse
1689,Cornelius Claese,Aeltie Teunis Boogert
1689,Tade Michielse,Anna Steynmets
1689,Jacob 1 Jacobse van Winkel,Aeltie Daniels
1689,Teunis Roelofse,Tryntie Claese
1689,Laurus Arentsen Tours,Franseyntje Thomase
1690,Walingh Jacobs,Catharina Michielse
1690,Mattheus Cornelis,Catharina Poulus
1690,Edward Erle,Elsie Vreelant
1690,Cornelius Roelofse,Madalena van Giesen
1690,Johannes Michielse Vreelant,Claes Dirckse
1690,Albert Albertse Terhuen,Hendrick Stevens
1690,Albert Stevens,Jellitje Reyniers
1690,Abraham Bockque,Tanneke Jacobse Van Dries
1690,Adriaen 1 Post,Catharina Gerritse
1690,Bastien van Giesen,Aeltie Hendriksz
1690,Teunis Roelofse,Tryntie Claese
1690,Hans Spier,Tryntie Pieterse
1690,Simon Jacobse van Winkel,Annatie Ariaens Sips
1691,Helmich Roelofse,Jannitie Pieterse
1691,Arien Pieterse Buys,Tryntie Hendrickse Oosterum
1691,Peter Poulus,Tryntie Hans Jacobs
1691,Cornelius Doremus,Jannitie Joris
1691,William Day,Annatie Jacobs
1691,Gerbrant Claese,Maritie Claese
1691,Thomas Franse,Tryntie Brestede
1691,Johannes Janse van Tilburg,Anna Maria van Giesen
1691,Abraham Mesier,Elizabeth Couwenhoven
1691,Adreis Claese,Pryntie Michielse Vreelant
1691,Jurian Tomasen,Reycke Hermense
1691,Hessel Pieterse,Elizabeth Claese
1692,Gileam Bertolf,Marteynje Hendriksz
1692,Thomas Juriansen,Jannitie Straetmaker
1692,Francois Post,Mayke Kobus
1692,Frederick Thomase,Catharina Hoppe
1692,Cornelis 1 van de Voorst,Feytie Gerritse
1692,Jan Hermense,Neeltie Jansz
1692,Johannes 1 Spier,Maritie Franse
1692,Claes Hendrickse Volk,Willemtie Hendrickse Spier
1692,Cristoffel Steynmets,Jannitie Gerritse
1692,Charles MacLean,Catharina Thomase
1692,Jan Cristyn,Helena 1 Been
1692,Thomas Creeven,Emmetje Eysbrants
1692,Jacob 1 Jacobse van Winkel,Aeltie Daniels
1692,Mattheus Cornelis,Catharina Poulus
1692,Abraham van Giesen,Feytie Adrianse
1692,Robert 1 Sickels,Geertringt Redde
1692,Abraham Mesier,Elizabeth van Kouwenhoven
1692,Isaac van Giesen,Cornelia Hendriksz
1692,Mattheus Buys,Catharina Barwey
1693,Edward Erle,Elsie Vreelant
1693,Sander Egbertse,Elsie Pieterse
1693,Cristoffel Steynmets,Jannitie Gerritse
1693,Bastien van Giesen,Aeltie Hendriksz
1693,Thomas Juriansen,Jannitie Straetmaker
1693,Hartman Michielse Vreelant,Maritie Dirckse Braack
1693,Helmich Roelofse,Jannitie Pieterse
1693,Frederick Thomase,Catharina Hoppe
1694,Cornelis 1 van de Voorst,Feytie Gerritse
1694,Claes Arentse Toers,Jacomin van Neste
1694,Johannes Janse van Tilburg,Anna Maria van Giesen
1694,Wander Diderick,Aeltie Gerritse
1694,Charles MacLean,Catharina Thomase
1694,Andries 1 Pryer,Johanna Steynmets
1694,Isaac van Giesen,Cornelia Hendriksz
1694,Merselis Pieterse,Pietertie van de Voorst
1694,Laurus Arentsen Tours,Franseyntje Thomase
1694,Geertie 1 Juriansen,Beletie 1 Dirckse
1694,Abraham van Giesen,Feytie Andriesze
1694,Mattheus Cornelis,Catharina Poulus
1694,Cornelius Michielse Vreelant,Mattie Dirck
1694,Thomas Franse,Tryntie Brestede
1694,Robert 1 Sickels,Greetruy Riddenhars
1694,Jan Tomasen,Feytie 1 Vreelant
1695,Geertie 1 Gerritse,Niesse Pieterse
1695,Geertie Steynmets,Catharina Gerritse
1695,Abraham 1 Ackerman,Aeltie van Laer
1695,Jan Bertingh,Hillegont Jacobs
1695,Edward Erle,Elsie Vreelant
1695,William Day,Annatie Jacobs
1695,Jan Claese,Tryntie Straetmaker
1695,William Pereu,Elizabeth Sickels
1695,Bartol Jacobs,Eleanor Douglas
1695,Wander Diderick,Aeltie Gerritse
1695,Jan Ariaens Sips,Johanna van Vorst
1695,Hartman Michielse Vreelant,Maritie Dirckse Braack
1696,Cornelis 1 van de Voorst,Feytie Gerritse
1696,Jacob 1 Jacobse van Winkel,Geertie Hendriksz
1696,Gerbrant Claese,Maritie Claese
1696,Aard Juriansen,Geertie Matheus
1696,William Merrit,Catharina Hendrickse Spier
1696,Andries 1 Pryer,Johanna Steynmets
1696,Charles MacLean,Catharina Thomase
1696,David Natanielse,Annatie Straetmaker
1696,Geertie Steynmets,Catharina Gerritse
1696,Claes Arentse Toers,Jacomin van Neste
1696,Abraham van Giesen,Feytie Adrianse
1696,Laurus Arentsen Tours,Franseyntje Thomase
1696,Isaac van Giesen,Cornelia Hendriksz
1696,Edward Erle,Elsie Vreelant
1696,Thomas Franse,Tryntie Brestede
1696,Helmich Roelofse,Jannitie Pieterse
1696,Wesselse Pieterse,Pietertie van de Voorst
1696,Mattheus Cornelis,Catharina Poulus
1696,Jan Claese,Tryntie Straetmaker
1697,Jacob Jacobs,Geertie Hendriksz
1697,Geertie 1 Gerritse,Niesse Pieterse
1697,Robert 1 Sickels,Greetruy Riddenhars
1697,Cornelis 1 van de Voorst,Feytie Gerritse
1697,Johannes van der Hoeven,Dorothea Jansz
1697,Barent Cristiaense,Geertie 2 Dirckse
1697,Johannes 1 Vreelant,Claes Dirckse
1697,Bartol Jacobs,Eleanor Douglas
1697,Wander Diderick,Aeltie Gerritse
1697,Geertie 1 Juriansen,Beletie 1 Dirckse
1697,Jacob Ralemont,Pietertie Claese
1697,William Day,Annatie Jacobs
1698,Abel Riddenhars,Catharina Jansz
1698,Claes Hartmansen Vreeland,Anna Hermense
1698,Jan Sip,Johanna van de Voorst
1698,Geertie Steynmets,Catharina Gerritse
1698,Jan Claese,Tryntie Straetmaker
1698,Hartman Michielse Vreelant,Maritie Dirckse Braack
1698,Edward Erle,Elsie Vreelant
1698,Cornelius Michielse Vreelant,Maritie Dirckse Braack
1699,Cornelis 1 van de Voorst,Feytie Gerritse
1699,Andries 1 Pryer,Johanna Steynmets
1699,Jacob Jacobs,Geertie Hendriksz
1699,Claes Arentse Toers,Jacomin van Neste
1699,Merselis Pieterse,Pietertie van de Voorst
1699,Isaac van Giesen,Cornelia Hendriksz
1699,Geertie 1 Juriansen,Beletie 1 Dirckse
1699,Mattheus Cornelis,Catharina Poulus
1699,Abel Riddenhars,Catharina Jansz
1699,Robert 1 Sickels,Greetruy Riddenhars
1699,Jacob Ralemont,Pietertie Claese
1699,William Day,Annatie Jacobs
1699,Geertie 1 Gerritse,Niesse Pieterse
1699,Helmich Roelofse,Jannitie Pieterse
1700,Ulrick 1 Brouwer,Hester De Voe
1700,Rutger van Hoorn,Neeltie Dirckse
1700,Cornelis 1 van de Voorst,Feytie Gerritse
1700,Abraham Vreelant,Margriet 1 van Winkel
1700,Jan van der Hoeven,Dorothea Jansz
1700,Rutger van Hoorn,Neeltie Dirckse
1700,Cornelius Claese,Aeltie Teunis Boogert
1700,Edward Erle,Elsie Vreelant
1700,Jan Sip,Jannitie van de Voorst
1700,Wander Diderick,Aeltie Gerritse
1701,Abel Riddenhars,Catharina Jansz
1701,Ulrick 1 Brouwer,Hester De Voe
1701,Abel Riddenhars,Catharina Jansz
1701,Laurens van Galen,Tryntie Vreelant
1701,Geertie 1 Juriansen,Beletie 1 Dirckse
1702,William Day,Annatie Jacobs
1702,Rutger van Hoorn,Neeltie Dirckse
1702,Isaac van Giesen,Cornelia Hendriksz
1702,Cornelis 1 van de Voorst,Feytie Gerritse
1702,Robert 1 Sickels,Greetruy Riddenhars
1702,Cornelis 1 van de Voorst,Feytie Gerritse
1702,Bartol Jacobs,Helena Douglas
1702,Bastien van Giesen,Aeltie Hendriksz
1702,Thomas Tomasen,Saartje van Dueselen
1702,Abraham van Giesen,Feytie Adrianse
1702,Wander Diderick,Aeltie Gerritse
1703,Ulrick 1 Brouwer,Hester De Voe
1703,Geertie Steynmets,Catharina Gerritse
1703,Abel Riddenhars,Catharina Jansz
1703,Edward Erle,Elsie Vreelant
1703,Claes Arentse Toers,Jacomin van Neste
1703,Mattheus Cornelis,Catharina Poulus
1703,Laurens van Galen,Tryntie Vreelant
1704,Geertie 1 Juriansen,Beletie 1 Dirckse
1704,Peter Helmigs,Claertje Post
1704,Cornelis 1 van de Voorst,Feytie Gerritse
1704,Roelof Helmigs,Achtje Cornelise Vreland
1704,Cornelis 1 van de Voorst,Feytie Gerritse
1704,Jan Sip,Johanna van de Voorst
1704,William Day,Annatie Jacobs
1704,Rutger van Hoorn,Neeltie Dirckse
1704,Andries Fredricksen,Persilla Homs
1704,Barent Spier,Cathalina Jacobs
1704,Dirk Barends,Elizabeth 2 Gerritse
1704,Edward Erle,Elsie Vreelant
1704,Robert 1 Sickels,Greetruy Riddenhars
1704,Isaac van Giesen,Cornelia Hendriksz
1705,Jacob Jacobs,Geertie Hendriksz
1705,Claes Gerbrantse,Maritie 1 Juriansen
1705,Enoch Michielse Vreelant,Achtje van Hoorn
1705,Geertie 1 Juriansen,Beletie 1 Dirckse
1705,Abraham van Giesen,Feytie Adrianse
1705,Jan van der Hoeven,Dorothea Jansz
1705,Bastien van Giesen,Aeltie Hendriksz
1705,Ulrick 1 Brouwer,Hester De Voe
1705,Abel Riddenhars,Catharina Jansz
1705,Johannes Michielse Vreelant,Claes Dirckse
1705,Wander Diderick,Aeltie Gerritse
1705,Johannes Gerretsen van Wagening,Cathalina Helmigs
1705,Thomas Franse,Tryntie Brestede
1705,Laurens van Galen,Tryntie Vreelant
1706,Mattheus de Mott,Margriet Hendricks Brinkerhoff
1706,Cornelis 1 van de Voorst,Feytie Gerritse
1706,William Day,Annatie Jacobs
1706,Jan Sip,Johanna van de Voorst
1706,Barent Spier,Cathalina Jacobs
1707,Enoch Michielse Vreelant,Achtje van Hoorn
1707,Rutger van Hoorn,Neeltie Dirckx van Vechten
1707,Johannes Thomase,Maritie van Deusen
1707,Claes Arentse Toers,Jacomin van Neste
1707,Geertie 1 Juriansen,Beletie 1 Dirckse
1708,Johannes Gerretsen van Wagening,Cathalina Helmigs
1708,Evert Evertsen,Hillegont Jacobs
1708,Abel Riddenhars,Catharina Lubberts
1708,Andries Hoppe,Abigail Hoppe
1708,Laurens van Galen,Tryntie Vreelant
1708,Harpert Gerbrantse,Hillegont Merselis
1708,Mattheus de Mott,Margriet Blinkerhoff
1708,Roelof Helmighsen van Houten,Achtje 1 Vreelant
1708,Enoch Michielse Vreelant,Eva van Hoorn
1708,Johannes Thomase,Maritie van Deusen
1708,Benjamin Herrisnut,Annatie Herrisnut
1708,Wander Diderick,Aeltie Gerritse
1708,Jan Ariaens Sips,Jannitie van Vorst
1709,Cornelius 1 Blinkerhoff,Achtje 1 Vreelant
1709,Adrian Vermeule,Christina Fredrikse
1710,Hendrick Claasen Kuyper,Jannitie Verkerk
1710,Andries Hoppe,Abigail Ackerman
1710,Abel Riddenhars,Catharina van Blerkom
1710,Geertie Roos,Judith Arentsen Toers
1710,Geertie 1 Juriansen,Beletie 1 Dirckse
1710,Johannes Gerretsen van Wagening,Catlyntie Helmigs
1710,Enoch Michielse Vreelant,Eva van Hoorn
1710,Daniel 1 van Winkel,Jannitie Cornelis
1711,Cornelius 1 Blinkerhoff,Achtje Harmanssen Vreelant
1711,Laurens van Galen,Tryntie Elyassen Vreelant
1711,Evert van Naamen,Wyntie van Naaman
1711,Geertie Roos,Judith Toers
1711,Robert 1 Sickels,Greetruy Riddenhars
1711,Mattheus de Mott,Margriet Blinkerhoff
1711,Johannes Thomase,Maritie van Deusen
1712,Adrian Vermeule,Christina Fredrikse
1712,Hendrick Claasen Kuyper,Jannitie Verkerk
1712,Daniel 1 van Winkel,Jannitie Cornelis
1712,Geertie Roos,Judith Toers
1712,Cornelius 1 Blinkerhoff,Achtje 1 Vreelant
1713,Geertie Roos,Judith Toers
1713,Cornelius 1 Blinkerhoff,Achtje 1 Vreelant
1715,Meyndert 1 Gerbrantse,Tryntie Jacobsen van Winkel
1715,Casper 1 Pryer,Saartje Adrianse
1716,Mattheus de Mott,Margriet Blinkerhoff
1717,Casper 1 Pryer,Saartje Adrianse
1717,Meyndert 1 Gerbrantse,Tryntie Jacobsen van Winkel
1717,Cornelius 1 Gerbrantse,Jannitie 1 Spier
1718,Hendrick 1 Sickels,Geertie Fredrikse
1718,Mattheus de Mott,Margriet Blinkerhoff
1719,Meyndert 1 Gerbrantse,Tryntie Jacobsen van Winkel
1720,Mattheus de Mott,Margriet Blinkerhoff
1720,Jacob Gerretsen van Wagening,Lea Gerritse
1720,Hendrick 1 Sickels,Geertie Fredrikse
1721,Johannes Helmegsen van Houten,Cathalina Helmigs
1721,Meyndert 1 Gerbrantse,Tryntie Jacobsen van Winkel
1721,Cornelius 1 Gerbrantse,Jannitie 1 Spier
1722,Casper 1 Pryer,Saartje Adrianse
1722,Hendrick 1 Sickels,Greetruy Fredrikse
1723,Mattheus de Mott,Margriet Blinkerhoff
1723,Marthen Wennem,Jannetie 1 Vreelant
1723,Peter 2 Merselis,Tanneke Pryer
1723,Johannes Johanisen Vreeland,Annatie Dirckse
1723,Cornelius 1 Gerbrantse,Jannitie 1 Spier
1723,Geertie 1 Matheus,Catharina Cuyper
1723,Casper 1 Pryer,Sara Adrianse
1723,Ide Sip,Annatie 1 van Wagenen
1723,Johannes 2 Vreelant,Annatie Dirckse
1724,Casper 1 Pryer,Sara Adrianse
1724,Michael Hartmansen Vreeland,Elizabeth 3 Gerritse
1724,Johannes Helmegsen van Houten,Helena Johanisen Vreeland
1724,Hendrick van der Hoeven,Eva Slot
1724,Meyndert 1 Gerbrantse,Tryntie Jacobsen van Winkel
1724,Jacob Gerretsen van Wagening,Lea Gerritse
1725,Peter 2 Merselis,Tanneke Pryer
1725,Hendrick 1 Sickels,Geertie Fredrikse
1726,Meyndert 1 Gerbrantse,Tryntie Jacobsen van Winkel
1726,Cornelius 1 Gerbrantse,Jannitie 1 Spier
1726,Casper 1 Pryer,Saartje Adrianse
1727,Jacob Gerretsen van Wagening,Lea Gerritse
1727,Jacob Gerretsen van Wagening,Lea Gerritse
1728,Hendrick 1 Sickels,Geertie Fredrikse
1728,Cornelius 1 Gerbrantse,Jannitie 1 Spier
1729,Zacharias 1 Sickels,Ariaentie Harmanssen Vreelant
1729,Paulus Mattheeusen,Helena Spier
1729,Cornelius Gerretsen,Aeltie van Winkel
1729,Johannes 1 Sickels,Claes Blinkerhoff
1729,Jurian Gerretsen,Margriet 1 Diderix
1729,Morgen Schmidt,Catharina Tades
1729,Hendrick van der Hoeven,Eva Slot
1729,Casper 1 Pryer,Saartje Adrianse
1730,Michael Cornelise Vreland,Jenneke Helmegsen van Houten
1730,Marthen Wennem,Jannitie Johanisen Vreeland
1731,Johannes 1 Sickels,Claes Blinkerhoff
1731,Harman Steynmets,Elsie Couwenhoven
1731,Jacob Brouwer,Lea Slot
1731,Arend Toers,Annatie Spier
1732,Arend Toers,Annatie Spier
1732,Michael Cornelise Vreland,Jenneke Helmegsen van Houten
1732,Peter Maerle,Maritie Adrianse
1732,Hendrick van der Hoeven,Eva Slot
1732,Johannes Cavelier,Cathalina Cavelier
1732,Johannes Cavelier,Cathalina Cavelier
1732,Peter 2 Merselis,Jenneke Pryer
1732,Jurian Gerretsen,Geertie 3 Dirckse
1733,Jan Hendriksz,Annatie Pryer
1733,Michael Hartmansen Vreeland,Elizabeth 3 Gerritse
1733,Jan Hendriksz,Annatie Pryer
1733,Arend Toers,Annatie Spier
1733,John Diderix,Geertie van Winkel
1733,Abraham 1 Spier,Annatie Spier
1733,Cornelius 1 Gerbrantse,Jannitie 1 Spier
1733,Paulus van Nieuwkerk,Helena Spier
1733,Ide Sip,Annatie 1 van Wagenen
1733,Johannes 1 Sickels,Claes Blinkerhoff
1733,Joris Enogsen Vreelant,Annatie van Winkel
1733,Dirk Fredricksen,Jannitie van Hoorn
1733,Jurian Gerretsen,Geertie 3 Dirckse
1733,Johannes Cavelier,Cathalina Cavelier
1735,Arend Toers,Annatie Spier
1735,Peter 2 Merselis,Jenneke Pryer
1735,Jurian Gerretsen,Geertie 3 Dirckse
1735,Peter Stuyvesant,Pryntie Pryer
1735,Hendrick 1 van Winkel,Catharina Waldron
1735,Morgen Schmidt,Katie Tades
1735,Johannes Helmegsen van Houten,Helena Johanisen Vreeland
1735,Cornelius Diderix,Annatie Roos
1735,Jacob Brouwer,Lea Slot
1735,Ide Sip,Annatie Gerritse
1736,William Sickels,Elizabeth Kuypers
1736,Peter Stuyvesant,Pryntie Pryer
1736,Geertie Hennion,Maritie van Vorst
1736,Dirk Cadmus,Jannitie van Hoorn
1737,Arend Toers,Annatie Spier
