year,source,target
1773,Aron Smith,Catharina Veeling
1773,Abraham Roelfse,Catharina Saures
1773,Joseph Prent,Annatie Franch
1773,Philip Service,Catharina Seever
1773,Thomas Ferguson,Margaret Menning
1773,Samuel Rogers,Neylche Philipse
1773,William Suddert,Susanna Anstes
1773,Hendrick Vrooman,Margaret Van De Werken
1773,Cornelius Van Everen,Cornelia Van Aalstyn
1773,Martyn Van Aalstyn,Annatie Quack
1773,David Cosaat,Annatie Stymerse
1773,Johannes Vries,Catharina Coens
1773,Thomas Plato,Maria Rogers
1773,Johannes Van Slyk,Geertruy Marinus
1773,Volkert Veeder,Elizabeth Smith
1773,Michael Herris,Cornelia Blaane
1773,Stuart Hazard,Rachel Clark
1773,Petrus Mabee,Alida Peek
1773,Jeremiah Quack,Elizabeth Van Aalstyn
1773,Conrad Rees,Barbera Stooner
1773,John Wemp,Maria Veeder
1773,Gerades Moak,Anna Coonraet
1773,John Davis,Annatie Veeder
1773,William Colon,Anna Quackenbush
1773,Johannes Newkerk,Rachel Knute
1773,Johannes Van Zyl,Catharina Rykman
1773,Frederick Lewis,Rachel Hover
1773,Gerrit Van Brakelen,Maria Van Brakelen
1773,George Kirk,Catharina Potman
1773,Conrad Mouer,Geertruy Smith
1773,David Potman,Annatie Van Antwerp
1773,Jacob Van Aalstyn,Wyntje Leenderson
1773,John Rosa,Christina Valkenburg
1773,Jury Miller,Catharina Heever
1773,John Melat,Hannah Shelden
1773,Frederick Fisher,Gesina DeGraaf
1773,Rich 't Hansen,Polly Butler
1773,Harmanus Philipse,Annatie Cromwell
1773,Bolters Ergesinger,Maddelena Ergesinger
1773,Gysbert Van Aalstyn,Annatie Quack
1773,Harmanus Mabee,Susanna Wemp
1773,Isaac Davis,Catharina Wilson
1773,John Fraiser,Nancy Fraiser
1773,Isaac Collier,Rachel Quackenbush
1773,Peter Davis,Elsje Marinus
1773,Adam Lewis,Eva Lewis
1773,Martinus Gardinier,Dorothea Philipse
1773,Martinus Gardinier,Dorothea Philipse
1773,Esmael Beekman,Eva Halenbeek
1773,Benjamin Delyn,Anganieta Philipse
1773,Hendrick Seever,Fryna Barlet
1773,Johannes Lewis,Sarah Potman
1774,Derik Potman,Neeltie Van Brawkley
1774,Philip Beemer,Catharina Lyser
1774,Amos France,Hannah Fitchet
1774,Frederick Starn,Elizabeth France
1774,James De Rosa,Fransyntje Coter
1774,Abraham Van Aalstyn,Lena Van Duisen
1774,Nicholas Dachsteder,Catharina Van De Werken
1774,John Fonda,Engeltje Hansen
1774,Abraham Davis,Catharina Rogers
1774,William Van Brute,Maria Freest
1774,Jacob Tanner,Maria Lewis
1774,Hendrick Lewis,Cataleyna Davis
1774,Hendrick Eyk,Catharina Baromore
1774,Adam Ekker,Margaret Cagnot
1774,Adam Dachsteder,Eva Barlet
1774,Adam Dachsteder,Maria Philipse
1774,Abraham Gerritson,Maria Brouwer
1774,Alexander McPherson,Catharina McCay
1774,Johannes Ekker,Elizabeth Dachsteder
1774,Gerrit G. Van Brawkley,Anna Kitts
1774,Renier Van Everen,Neeltie Van Eps
1774,Harmanus Smith,Maria Wemp
1774,Jacob Gardinier,Derkje Van De Werken
1774,Roelf Van De Werken,Cornelia Van Aalstyn
1774,Hendrick Wieler,Neeltie Wieler
1774,Cobus Cromwell,Rachel Gardinier
1774,Daniel McClain,Barbera McClean
1774,Gysbert Van Brawkley,Polly Wilson
1774,Conrad Crotsenberg,Margaret Crasin
