year,source,target
1712,Johan Henrich Krantz,Anna Catharina Krantz
1712,Johann Melchior Dausweber,Anna Magdalena Dausweber
1712,Johann Dietrich Wanenmacher,Anna Kunigunda Wanenmacher
1712,Hieronymus Weller,Anna Juliana Weller
1712,Johan Becker,Anna Elisabetha Becker
1712,Johan Wilhelm Brandau,Maria Elisabetha Catharina Brandau
1712,Johan Eberhard,Anna Sibylla Eberhard
1712,Kilian Planck,Juliana Jung Planck
1712,Adam Eckhard,Elisabeth Catharina Eckhard
1712,Peter Janson,Maria Janson
1712,Andeas Volck,Anna Catharina Volck
1712,Rennier Von Husum,Anna Husum
1712,Johan Bond,Janike Bond
1712,Johan Hess,Catharina Hess
1712,Niclaus Trombour,Magdalena Trambauer
1712,Peter Losting,Cornelia Losting
1712,Johan Leer,Sibylla Catharina Leer
1712,Johann Martin Netzbacher,Barbara Elisabetha Netzbacher
1712,Jorg Henrich Stubenrauch,Anna Catharina Stubenrauch
1712,Kilian Munckler,Anna Margretha Munckler
1712,Johann Philipp Finckel,Anna Catharina Finckel
1712,Andreas Finck,Maria Fink
1712,Johann Fridrich Bell,Anna Maria Bell
1712,Jorg Martin Dillenbach,Sara Catharina Dillenbach
1712,Niclaus Feller,Maria Elisabetha Feller
1712,Jacob Kobel,Anna Maria Kobel
1712,Christoph Fuchs,Johanna Elisabetha Fuchs
1712,Conrad Lain,Margretha Lain
1712,Johann Fridrich Maul,Anna Ursula Maul
1712,Peter Gistler,Anna Lucia Gissler
1712,Henrich Spohn,Maria Catharina Spohn
1712,Johan Peter Schmid,Elisabetha Margretha Schmid
1712,Albert Von Loon,Maria Loon
1712,Georg Zufeld,Anna Catharina Zufeld
1712,Georg Zufeld,Anna Catharina Zufeld
1712,Peter Maurer,Anna Catharina Maurer
1712,Adam Hertel,Anna Margretha Hertel
1712,Daniel Schumacher,Anna Maria Schumacher
1712,Ludwig Leich,Maria Martha Leich
1712,Zacharias Flegler,Anna Elisabetha Flegler
1712,Gottfrid Ruhl,Anna Margretha Ruhl
1712,Bernhard Luckhard,Justina Luckhard
1712,Johan Michael Emerich,Elisabetha Emerich
1712,Stephan Frohlich,Anna Elisabetha Frohlich
1712,Johan Ritzbackus,Elisabetha Backus
1713,Gabriel Hostman,Anna Catharina Hostman
1713,Dietrich Sutz,Magdalena Sutz
1713,Friedrich Merckel,Anna Barbara Merckel
1713,Johan Henrich Krantz,Anna Catharina Krantz
1713,Johan Valentin Frohlich,Apollonia Frohlich
1713,Mattheus Brunck,Anna Brunck
1713,Johann Philipp Gissler,Anna Catharina Gissler
1713,Johan Conrad Marten,Maria Marten
1713,Ludwig Bertsch,Catharina Bertsch
1713,Georg Johann Decker,Maria Decker Decker
1713,Durck Wenn Reichard,Anna Reichard
1713,Johan Henrich Schmid,Anna Catharina Schmid
1713,Henrich Chisem,Anna Chisem
1713,Johan Michael Schutz,Maria Schutz
1713,Peter Pfuhl,Anna Sophia Pfuhl
1713,Peter Oberbach,Elisabetha Oberbach
1713,Arend Von Schaack,Maria Schaack
1713,Zacharias Hoffman,Ester Hoffman
1713,Abraham Vorstung,Clara Vorstung
1713,Martin Netzbacher,Anna Barbara Netzbacher
1713,Christian Castelmann,Anna Maria Judith Castelmann
1713,Just Henrich Schaster,Agnes Schast
1713,Henrich Fehling,Anna Kunigunda Fehling
1713,Johan Planck,Maria Margretha Planck
1713,Johan Peter Oberbach,Maria Christina Oberbach
1713,Arnold Falck,Anna Elisabeth Falck
1713,Johan Henrich Neukirk,Anna Maria Neukirk
1713,Simon Hess,Rosina Haas
1714,Hieronymus Weller,Anna Juliana Weller
1714,Johan Peter Becker,Anna Elisabetha Becker
1714,Adam Spohn,Anna Maria Spohn
1714,Ananias Dihl,Elisabetha Dihl
1714,Peter Aigner,Anna Margretha Aigner
1714,Christian Meyer,Anna Gerdraut Meyer
1714,Zacharias Flegler,Anna Elisabetha Flegler
1714,Johan Strauss,Maria Elisabeth Strauss
1714,Hieronymus Scheib,Anna Catharina Scheib
1714,Johann Fridrich Coutermann,Maria Barbara Coutermann
1714,Johan Peter Dippel,Anna Catharina Dippel
1714,Joseph Reichard,Anna Maria Reichard
1714,Johan Niclaus Korner,Anna Magdalena Korner
1714,Johan Roshmann,Anna Elisabetha Roshmann
1714,Mattheus Schlemmer,Anna Veronica Schlemmer
1714,Mattheus Schlemmer,Anna Veronica Schlemmer
1714,Wilhelm Linck,Anna Eva Linck
1714,Niclaus Haas,Maria Sabina Haas
1714,Johan Emerich,Anna Margretha Emerich
1714,Johan Grad,Walpurga Grad
1714,Johan Plass,Elisabetha Plass
1714,Johan Leick,Maria Barbara Leick
1714,Samuel Kuhn,Elisabetha Kuhn
1714,Johan Conrad Diestenbach,Anna Barbara Diestenbach
1714,Clemens Lehmann,Gerdraut Lehmann
1714,Henrich Reiter,Anna Juliana Reuter
1714,David Hupfer,Anna Catharina Hupfer
1714,Peter Hamm,Anna Catharina Sibylla Hamm
1714,Henrich Schneider,Anna Schneider
1714,Jacob Esswein,Margretha Esswein
1714,Kilian Munckler,Anna Margretha Munckler
1714,Kilian Munckler,Anna Margretha Munckler
1714,Andreas Richter,Elisabetha Richter
1714,Conrad Behringer,Anna Elisabetha Behringer
1714,Peter Drechsler,Catharina Drechsler
1714,Johann Philipp Gissler,Anna Catharina Gissler
1714,Adam Eckhard,Anna Eckhard
1714,Georg Zufeld,Anna Catharina Zufeld
1714,Johann Philipp Wolleben,Anna Margretha Wolleben
1714,Johan Wilhelm Tales,Anna Margretha Tales
1714,Ruloph Deteutsher,Janike Deteutsher
1714,Johan Henrich Bruchler,Magdalena Bruchler
1714,Johan Henrich Bruchler,Magdalena Bruchler
1714,Niclaus Bohnenstihl,Anna Margretha Bohnenstihl
1714,Niclaus Michel,Maria Barbara Michel
1714,Johan Valentin Falckenburger,Elisabetha Maria Falckenburger
1714,Johan Valentin Falckenburger,Elisabetha Maria Falckenburger
1714,Albrecht Dietrich Marterstock,Elisabetha Marterstock
1714,Sebastian Spickermann,Anna Elisabetha Spickermann
