id,name,gender
234,Madeleine Peiret,female
235,Marie Lecuier,female
236,Catherine le Mercier,female
237,Annetie Hans,unknown
238,Ester David,female
239,Marie Susanne Vergereau,female
240,Marie Moriet,female
241,Elce Alisson,unknown
242,Ester Finch,female
243,Anne Vincent,female
244,widow Gallais,unknown
245,Cornelis Vanderburg,male
246,Catherine Meir,female
247,Anthoinette Buvier,unknown
248,Simeon Soumain,male
249,Jeanne Piaud,female
250,Isaac Girard,male
251,Marie Roubin,female
252,Isabel Dublet,female
253,Elisabeth Damaris,female
254,Marie Fitond,female
255,Jean Barait,male
256,Marthe Maybee,female
257,Andre Auriau,male
258,Anna Oustraven,female
259,Nicholas Richard,male
260,Jean Noe,male
261,David Bon Foy,male
262,Marie Cariller,female
263,Susanne Boudinot,female
264,Susan Nicholas,female
265,Anne Rezeau,female
266,Marie Traverrier,female
267,Judy Pare,female
268,Marthe Goffre,female
269,Margueritte Dumon,unknown
270,Elisabeth Jourdain,female
271,Thomas Lewis,male
272,Francoise Leiseler,unknown
273,Cornelia [Roos] Rosze,female
274,Daniel Strain,male
275,Charlotte le Mestre,female
276,James Spenser,male
277,Estel Vincens,female
278,Constance Lebrun,female
279,Jean Magny,male
280,Jeanne Machet,female
281,Jean Parquot,male
282,Leonard Lewis,male
283,Estienne Jamain,unknown
284,Jaques Burtel,unknown
285,Estienne de Lancey,unknown
286,Francois Cariller,unknown
287,Benjamin Godeffroy,male
288,Isaac Lenoir,male
289,Auguste Grasset,male
290,Pierre Machet,male
291,Eltie Leiseler,unknown
292,Judith Pare wid Robineau,female
293,Marie Anne,female
294,Caterine Jouneau,unknown
295,Hendrica Kip,female
296,Anne Cromelin,female
297,Marguerite Huge,female
298,Marie Boucherie,female
299,Susanne Dousinet,female
300,Judy Gallay wife of Lasonde,female
301,Susanne Hulin,female
302,Elisabeth Filheut,female
303,Sara Coslas,female
304,Catharine Lauandier,female
305,Jean Blanchard,male
306,Jeanne Gautier,female
307,Louis Dubois,male
308,Ester Grasset,female
309,Jacques Lepage,male
310,Madeleine David,female
311,Pierre Latourette,male
312,Thomas Adams,male
313,Marguerite Chonvetre,female
314,Alexander Maurisset,male
315,Nicolas Malherbe,male
316,Pierre Dasserx,male
317,Marie Odine,female
318,Ruth David,female
319,Jeanne Fiart,female
320,Marthe Poutreau,female
321,Marie Lucas wife of Loraut,female
322,Marthe Jeffroy,female
323,Isaac Quantain,male
324,Jeanne Fume,female
325,Jean Canon,male
326,Marie Legrand,female
327,Jean Magnon,male
328,Claude Badaud,mostly_male
329,William Brown,male
330,Marthe Bolton,female
331,Elie Badaud,male
332,Claude Fume,mostly_male
333,Jacques Bargeau,male
334,Jeanne de Lachenal,female
335,Francois Benech,unknown
336,Pierre Barberie,male
337,Abraham Raizeau,male
338,Jean Pintard,male
339,Andre Canon,male
340,Marie Catherine Carre Boudinot,female
341,Jeanne Archambaud,female
342,Janne Doens,female
343,Marie Carre,female
344,Marguerite Bontecou,female
345,Elisabeth Hatier,female
346,Susanne Drouilhet,female
347,Anne Newkerke,female
348,Jeanne Carre,female
349,Marie Raizeau,female
350,Marianne Machet,female
351,Jeanne de Wendell,female
352,Marie Bellemont,female
353,Alexander Allaire,male
354,Pierre Jansson Melot,male
355,Pierre Chagneau,male
356,Alkey Smith,unknown
357,Samuel Grasset,male
358,Daniel Audard,male
359,Joseph Horton,male
360,Sofie Classen,female
361,Francois de Fenne,unknown
362,Anne Marguerite,female
363,Madeleine Masse,female
364,Andre Lauran,male
365,Marc Florentin,male
366,Anne Carrillier,female
367,Nicolas Ayrault,male
368,Marie Anne Berton,female
369,Agnes Constance le Brun,female
370,Abraham Jouneau,male
371,Andre Foucault,male
372,Augustin Greham,male
373,Barne van Tellebourg,unknown
374,Daniel Giraud,male
375,Pierre Vergereau,male
376,Benjamin Faneuil,male
377,Jacques Vallet,male
378,Samuel Archambaud,male
379,wid Hatier,unknown
380,Elisabeth Leister,female
381,Judy Demerciers,female
382,Janne Audar,female
