congregation,denomination,betweenness,bridge,degree,end,gender,id,modularity,name,race,start
flatlands-drc,dutch reformed,0.004347826086957,female_bridge,3,1783,female,97,14,Geertie Van Wicklen,white,1751
flatlands-drc,dutch reformed,0,false,2,1771,male,99,17,Sytie Van Deventer,white,1751
flatlands-drc,dutch reformed,0,false,2,1771,female,101,10,Catharina Van Sickel,white,1751
flatlands-drc,dutch reformed,0.004357298474946,male_bridge,5,1802,male,104,16,Wilhelm Van Nuys,white,1752
flatlands-drc,dutch reformed,0.187065454201004,male_bridge,9,1802,male,105,8,Michael Stryker,white,1752
flatlands-drc,dutch reformed,0.001946575731742,false,4,1776,male,106,8,Jan Stryker,white,1752
flatlands-drc,dutch reformed,0.01145685327271,false,6,1798,male,107,12,Ulpianus Van Sinderen,white,1752
flatlands-drc,dutch reformed,0.002159704461495,false,4,1774,male,112,2,Abraham Lott,white,1752
flatlands-drc,dutch reformed,0.057269702690282,false,15,1802,male,115,0,Wilhelm Stoothof,white,1764
flatlands-drc,dutch reformed,0,false,2,1772,male,116,8,Charles Doutie,white,1752
flatlands-drc,dutch reformed,0.012986643932936,male_bridge,5,1781,male,117,8,Jacob Bevoise,white,1752
flatlands-drc,dutch reformed,0,false,2,1772,female,119,16,Magdalena Berry,white,1752
flatlands-drc,dutch reformed,0,false,2,1772,female,120,8,Sara Bergen,white,1752
flatlands-drc,dutch reformed,0.007710523823056,false,3,1777,female,121,12,Emmetie Hegeman,white,1752
flatlands-drc,dutch reformed,0,false,2,1772,female,124,2,Teuntie,white,1752
flatlands-drc,dutch reformed,0.012215477911414,female_bridge,6,1802,female,125,0,Sara Stoothof,white,1764
flatlands-drc,dutch reformed,0.021549682675002,female_bridge,4,1802,female,126,8,Maria Stillwell,white,1752
flatlands-drc,dutch reformed,0.201614946080857,false,10,1788,male,127,1,Petrus Amerman,white,1753
flatlands-drc,dutch reformed,0,false,2,1773,male,128,1,Daniel Durie,white,1753
flatlands-drc,dutch reformed,0.008455547695969,false,5,1780,male,129,1,Abraham Durie,white,1753
flatlands-drc,dutch reformed,0.029921869882405,false,10,1783,male,130,1,Stephan Schenck,white,1753
flatlands-drc,dutch reformed,4.73619399450601E-06,false,3,1773,male,131,14,Peter Lozier,white,1753
flatlands-drc,dutch reformed,0,false,2,1773,male,132,0,Harman Hoogeland,white,1753
flatlands-drc,dutch reformed,0.027192851110766,male_bridge,7,1790,male,133,0,Lucas Voorhees,white,1753
flatlands-drc,dutch reformed,0,false,2,1773,male,134,5,Laurens Ditmarse,white,1753
flatlands-drc,dutch reformed,0.227337311736289,female_bridge,4,1802,female,137,3,Maria Van der Veer,white,1753
flatlands-drc,dutch reformed,0,false,2,1773,male,138,6,Peter Hagenoud,white,1753
flatlands-drc,dutch reformed,0.010330499291183,false,6,1796,female,139,1,Willempje Wyckoff,white,1753
flatlands-drc,dutch reformed,0.007117901419547,false,4,1777,female,140,1,Elizabeth Polhemius,white,1753
flatlands-drc,dutch reformed,0.040217218587121,false,8,1802,female,141,11,Annatie Wyckoff,white,1753
flatlands-drc,dutch reformed,0,false,2,1773,female,142,14,Jannitie Ryerse,white,1753
flatlands-drc,dutch reformed,0,false,2,1773,female,143,0,Christina VanderVoort,white,1753
flatlands-drc,dutch reformed,0,false,2,1773,female,144,5,Adriantie Hubbard,white,1753
flatlands-drc,dutch reformed,0,false,2,1779,female,145,14,Stintie Ryerse,white,1753
flatlands-drc,dutch reformed,0,false,2,1773,female,147,6,Ida Suydam,white,1753
flatlands-drc,dutch reformed,0,false,3,1774,female,148,2,Gertruit Lott,white,1754
flatlands-drc,dutch reformed,0.004347826086957,male_bridge,3,1801,male,149,12,Cornelius Emans,white,1754
flatlands-drc,dutch reformed,0,false,1,1774,female,150,12,Eva Emans,white,1754
flatlands-drc,dutch reformed,0,false,2,1774,male,151,6,Abraham Luykisse Voorhees,white,1754
flatlands-drc,dutch reformed,0.008676707397935,male_bridge,4,1777,male,152,1,Cornelius Van Kleef,white,1754
flatlands-drc,dutch reformed,0,false,2,1774,male,153,1,Jan Van Kleef,white,1754
flatlands-drc,dutch reformed,0.070899507507329,female_bridge,11,1791,female,154,6,Annatie Leffersen,white,1754
flatlands-drc,dutch reformed,0,false,1,1774,female,155,16,Magdalena Durie,white,1754
flatlands-drc,dutch reformed,0,false,2,1774,female,156,1,wife of Jan Van Kleef,white,1754
