,canonical,original
0,Jacob  Olferts,Jacob Olphertse
1,Claes  Janszen,Claes Janszen
2,Peter  Anthony,Pieter Anthony
3,Domingo  Deis,Dominco Deis
4,Thomas  Bros,Thomas Bros
5,Laurence  Duytsen,Laurens Duytsen
6,Samuel Van Angola A Negro,Samuel van Angola a Negro
7,Andries  Hudes,Andries Hudes
8,Jane  Suyderken,Jan Suyderken
9,Reyer  Everse,Reyer Evertse
10,Cosyn  Gerritse,Cozyn Gerritse
11,Jurgen  Thomase,Jorgien Thomas
13,Albert  Cuyne,Albert Cuyne
14,Emanuel Van Angola A Negro,Emanuel van Angola a Negro
15,Gerrit Van Oldenburg,Gerrit van Oldenburg
16,Jane  Orangien,Jan Orangien
17,Hans  Noorman,Hans Noorman
18,Peter  Pye,Pieter Pye
19,Jane  Fraunces,Johan Francis
20,Uldrick  Ludolfs,Uldrick Ludolfs
21,Arte  Williams,Arte Willemse
22,Harmen  Meyndertszen,Herman Meyndertszen
23,Egbert Van Bosum,Egbert van Bossum
24,Hendrick  Petersen,Hendrick Pieterszen
25,Everardus  Bogaert,Everardus Bogart
26,Peter  Cornelisz,Pieter Corneliszen
27,Jane Van Hoesen,Jan van Huysen
28,Barent  Jacobs,Barent Jacobszen
29,Machany  Cavate,Machany Cavate
30,Jane Van Rotterdam,Jan van Rotterdam
33,Koos  Pieterse,Koos Pieterse
34,Gerbrt  Petersen,Gerbrt Pieterszen
35,Abraham  Rycke,Abraham Ryke
36,Daniel  Kirck,Daniel Kirck
37,Claes  Cornelisz,Claes Corneliszen
38,Teunis  Thomase,Theunis Thomas
39,Burger  Joriszen,Burger Joriszen
40,Jurge  Roelofszen,Jeurgie Roelofszen
41,William  Andrieszen,Willem Andrieszen
42,Paulus  Janszen,Paulus Janszen
43,Emanuel  Swarger,Emanuel Swarger
44,Cornelius  Claesz,Cornelis Claeszen
45,Edward  Fiscoock,Eduart Fiscoock
46,David  Prevost,David Provoost
48,Jane  Thomase,Jan Thomaszen
49,Joris  Rapelje,Joris Rappalje
50,Kever  Biscop,Kever Biscop
51,Jane De La Montange,Jan de La montange
52,Cosyn  Gerritse,Cozyn Gerritszen
53,Jacob  Wolfertszen,Jacob Olfertszen
54,Adam  Rulend,Adam Rulend
55,Abraham  Planck,Abraham Plancken
56,Cornelius  Aertszen,Cornelis Arentszen
57,Arte  Theuniszen,Aert Theuniszen
58,Joachim Van Angola A Negro,Jacom van Angola a Negro
59,Antoine Portugies A Negro,Anthony Portugies a Negro
61,Arend  Steen,Arent Steen
62,Hilbrandt  Petersen,Hilbrandt Pieterszen
63,Derck  Volckertszen,Dirck Volckertszen
64,Gerrit  Wolfertszen,Gerrit Olfertszen
66,Thomas  Sanders,Thomas Sanders
67,Domingo  Douroens,Dominco Douroens
68,William  English,Willem English
69,Francois  Janszen,Frans Janszen
70,Govert  Lockermans,Govert Lockermans
71,Hans Van Noordstrand,Hans van Noordstrand
72,Teunis  Nyssen,Theunis Nyssen
73,Claes  Gerbrantse,Claes Gerbrant
75,Jurge  Hans,Jeurgie Hans
76,Michael  Poulus,Michiel Paulus
78,Jane  Schepmoes,Jan Schepmoes
79,Jane  Suycker,Jan Suycker
80,Thomas  Brons,Thomas Brons
81,Joachim  Kayker,Jochem Kayker
82,Hendrick Van Dyck,Hendrick van Dyk
83,Emanuel De Van Angola A Negro,Emanuel de van Angola a Negro
84,Lambert  Huybertszen,Lambert Huybertszen
85,Abraham  Pieterse,Abraham Pieterse
86,Teunis  Metselaer,Theunis Metselaer
87,Laurence  Duytschen,Laurens Duytschen
88,Arte  Williams,Aert Willemszen
91,Philip Du Trieux,Philip du Trieux
92,Antoine  Ferdinando,Anthony Ferdinando
93,Fernande  Fernando,Fernande Fernando
94,Claes Van Elslant,Claes van Elslant
96,Teunis  Cray,Theunis Cray
98,Laurence  Noorman,Laurens Noorman
99,Jane  Platneus,Jan Platneus
100,Gerrit  Janszen,Gerrit Janszen
102,Hans  Nicolaeszen,Hans Nicolaeszen
103,Daniel  Patrick,Daniel Patrick
104,Robert  Feecke,Robbert Feecke
106,Jane  Cornelisz,Jan Corneliszen
107,Hans Van Mansfield,Hans van Mansfield
108,Roelant  Hackwart,Roelant Hackwart
109,Robert  Belloy,Robbert Belloy
110,Abel  Redderhas,Abel Redderhas
111,Andries  Houten,Andries Houten
112,Emanuel  Zwyger,Emanuel Zwyger
113,Cornelius  Swiss,Cornelis Swiss
115,Richard  Waker,Richard Waker
116,Egbert Van Borsum,Egbert van Borsum
117,Lambert  Lamberts,Lambert Lamberts
118,Hendrick  Bekker,Hendrick Bakker
119,Isaac Du Foreest,Isaacq de Foreest
120,Jane  Carpenal,Jan Carpenal
121,Uldrick  Cleyn,Ulderick Cleen
122,Peter  Thomase,Pieter Thomas
123,Burger  Joriszen,Borger Joriszen
124,Jane  Tousen,Jan Tousen
127,Cornelius  Volckertszen,Cornelis Volckertszen
128,Jeuriaen  Planck,Jeuriaen Blanck
130,Peter Portugies A Negro,Pieter Portugies a Negro
132,Marten  Krieger,Marten Crieger
133,Hendrick  Henderickse,Hendrick Hendrickszen
135,Peter  Pias,Pieter Pias
136,Jellis  Petersen,Jilles Pieterszen
139,Olof Van Cortland,Olof van Cortland
140,Kors  Petersen,Kors Pieterszen
141,Cornelius  Molyn,Cornelis Molyn
145,Antoine  Negro,Anthony Negro
146,Adrian Van Alcmaer,Adriaen van Alcmaer
147,Cleyn Van Angola A Negro,Cleyn van Angola a Negro
148,Petrus  Alberto,Petrus Alberto
150,Evert  Biscop,Evert Biscop
152,Cornelius  Jacobs,Cornelis Jacobszen
154,Marcus  Emanuel,Marcus Emanuel
162,Jane  Stevens,Jan Stephenszen
164,Claes  Elslant,Claes Elslant
165,Thomas  Sandertszen,Thomas Sandertszen
167,Roelant  Wardt,Roelandt Wardt
170,Barent  Janszen,Barent Janszen
171,Stephan  Jougen,Stephen Jougen
172,Thomas  Cromwell,Thomas Corenwell
174,Adam  Roelantszen,Adam Roelantszen
175,Paulus Van Vlissingen,Paulus van Vlissingen
176,Jane  Petersen,Jan Pieterszen
177,Claes  Andrieszen,Claes Andrieszen
178,Jane Van Bremen,Jan van Bremen
179,Abraham  Molenaar,Abraham Molenaar
181,Joachim  Colart,Jochem Colart
183,Hannah  Beckens,Hanna Beckens
184,Wessel  Evertszen,Wessel Evertszen
186,Jurge  Holmes,Jeurgie Holmes
188,Hans Du Noorman,Hans de Noorman
189,Antoine  Fernando,Anthony Fernando
190,Teunis  Metselaer,Teunis Metselaer
191,Philip  Swartinne,Philippe Swartinne
192,Hendrick Van Duesenburg,Hendrick van Duesenburg
193,Thomas  Welert,Thomas Welert
195,Gysbert Op Dyck,Gysbert op Dyck
196,Peter  Colet,Pieter Colet
197,William  Watkyn,Willem Watkyn
198,Larie  Swartinne,Larie Swartinne
201,Hans  Kierstede,Hans Kierstede
205,Thomas  Smith,Thomas Smith
206,Jellis  Petersen,Jillis Pieterszen
207,Claes  Ritter,Claes Ritter
208,Herkel  Sybants,Herkel Sybants
209,Roelof  Janszen,Roelof Janszen
210,Henry  Pias,Henry Piesse
214,Jane  Schoenmaeker,Jan Schoenmaeker
215,Petrus  Cornelisz,Pieters Corneliszen
216,Teunis  Cray,Teunis Cray
217,Isaac Du Foreest,Isaac de Foreest
221,Andries Van Angola A Negro,Andries van Angola a Negro
222,Gerrit  Du Mon,Gerrit Doyman
223,Peter  Thome,Pieter Thome
224,Emanuel  Trompetter,Emanuel Trompetter
226,Rem  Janszen,Rem Janszen
228,Jane  Thouser,Jan Thouser
229,Jurge  Planck,Jeurgie Blanck
230,Arien Van Alcmaer,Ariaen van Alcmaer
232,Koos  Petersen,Cos Pieterszen
233,Thomas  Pharenton,Thomas Pharenton
234,Casar Du Italiaen,Casar de Italiaen
235,Arend  Evertszen,Arent Evertszen
236,Groot  Emanuel,Groot Emanuel
237,Adrian Van Zandt,Adriaen van Zandt
240,Jane  English,Jan English
242,Hans  Nicholas,Hans Nichols
247,Evert  Janszen,Evert Janszen
248,Jane Van Haerlem,Jan van Haerlem
249,Henry  Braisier,Henry Brazier
251,Gysbert Du Lion,Gysbert de Lion
256,Jane Van Hoesen,Jan van husen
260,Thomas  Carruwel,Thomas Carruwel
262,Paulus  Haiman,Paulus Haiman
265,Joachim  Carolius,Jochem Carolius
266,Cornelius  Stille,Cornelis Stille
267,William  Colart,Willem Goulart
268,Peter  Montfoort,Pieter Montfoort
274,Cornelius Van Tienhoven,Cornelis van Tienhoven
278,Paulus Van Angola A Negro,Paulus van Angola a Negro
280,Laurence  Petersen,Laurens Pieterszen
285,Adam  Brouwer,Adam Brouwer
286,Geertruy Van Oldenburg,Gerrt van Oldenburg
289,Lambert Van Valckenburg,Lambert van Valckenburg
297,Cornelius  Maurice,Cornelis Maurice
298,Jane  Harten,Jan Harten
301,Rem  Schmidt,Rem Smit
302,Michael De Van Berger,Michiel de van Berg
303,Evert Van Den En,Evert van den En
304,Albert Janszen A Negro,Albert Janszen a Negro
308,Derck  Cornelisz,Dirck Corneliszen
310,Francois  Wyck,Frans Wyck
314,Emanuel  Negro,Emanuel Negro
316,Hendrick Van Berger,Hendrick van Berg
317,Caesar  Alberts,Caesar Elbertse
319,Robert  Fecks,Robbert Fecks
321,Albert  Janszen,Elbert Janszen
322,Michael  Poulus,Michiel Pauluszen
323,Daniel  Lisco,Daniel Lisco
325,Jane Van Angola A Negro,Jan van Angola a Negro
326,Abros  London,Abros London
327,Evert  Duycking,Evert Duycking
330,Burger  Joris,Borger Joris
335,Jane De Vries A Negro,Jane de Vries a Negro
336,Paulus Van Der Beekman,Paulus van der Beekman
339,Peter  Laurens,Pieter Laurenszen
340,Petrus  Stuyvesant,Petrus Stuyvesant
341,Antoine  Janszen,Anthony Janszen
342,Haricken  Zibolts,Haricken Zibolts
345,Jane Van Groeningen,Jan van Groeningen
347,Cornelius  Theuniszen,Cornelis Theuniszen
349,Hendrick  Williams,Hendrick Willemse
350,Claes  Harmanse,Claes Harmensz
351,Albert  Albertszen,Elbert Elbertszen
354,Joost  Bekker,Joost Bakker
357,William  Cay,Willem Cay
362,Hendrick  Bresart,Hendrick Bresart
367,Kors  Petersen,Cors Pieterszen
368,Philip  Ringo,Philip Ringo
369,Michael  Messekir,Michiel Miscaer
370,Claes Du Bekker,Claes de Bakker
372,Roelof  Cornelisz,Roelof Corneliszen
373,Jellis  Petersen,Gilles Pieterszen
374,Paulus A Negro,Paulus a Negro
376,Jane Van Brestede,Jan van Brestede
377,Teunis Du Metselaer,Theunis de Metselaer
378,Abraham  Williams,Abraham Willemszen
379,Gerrit  Henderickse,Gerrit Hendrickszen
381,Lambert  Mol,Lambert Mol
382,Cornelius  Mauritszen,Cornelis Mauritszen
383,Johannes  Bekker,Johannes Bakker
384,Jacob  Loper,Jacob Loper
388,Simon  Jacobs,Simon Jacobszen
392,Urbanus  Leurse,Urbanus Luyers
393,Cornelius  Stille,Cornelis Still
394,Hendrick  Carsten,Hendrick Carsten
401,Roelof Du Haes,Roelof de Haes
402,Hans  Reber,Hans Reber
403,Claes  Neutelaer,Claes Neutelaer
404,Paulus  Leendertszen,Paulus Leendertszen
405,Albert  Petersen,Albert Pieterszen
410,Stephan  Janszen,Steven Janszen
411,Peter  Leendertszen,Pieter Leendertszen
412,Hans  Hanszen,Hans Hanszen
414,Andries  Harpertszen,Andries Harpertszen
418,Andries Du Negro,Andries de a Negro
419,Paulus A Negro,Paulus Negro
420,Jacob  Leendertszen,Jacob Leendertszen
