id,name,gender,race
197,Maria Elizabeth Harter,female,white
198,Peter  Albert,male,white
199,John George Schaefer,male,white
200,1784,unknown,white
201,Michael Roth,male,white
202,Susannah  Roth,female,white
203,Andries  Ketterle,male,white
204,Johannes Lofler Kuntz,male,white
205,George Krebs,male,white
206,1785,unknown,white
207,Johannes Schafer,male,white
208,Magdalena  Schaefer,female,white
209,George (Adam) Klinger,male,white
210,Maria Elizabeth Klinger,female,white
211,Johannes Heim,male,white
212,Anna Catherine Heim,female,white
213,Michael Reitz,male,white
214,Elizabeth  Schnock,female,white
215,Johannes Bingamen,male,white
216,John Nicolaus Prosius,male,white
217,Anna Maria Brosius,female,white
218,Nicholas  Hettrick,male,white
219,Hendrick Groninger,male,white
220,Christoph Wenzel,male,white
221,Nicolaus Hederick,male,white
222,Henrich Zartman,male,white
223,Elizabeth  Zartman,female,white
224,Jacob Stauch,male,white
225,Michel Emerich,male,white
226,Johannes Lofler,male,white
227,Hendrick Minniam,male,white
228,Peter Zartman,male,white
229,Peter  Zartman,male,white
230,Anna Maria Twins Wenzel,female,white
231,Philip Auman,male,white
232,Christopf Dunkelberger,unknown,white
233,Catharina  Ried,female,white
234,Johannes Hartter,male,white
235,Johannes Kreiss,male,white
236,Maria Elizabeth Forster,female,white
237,Michael  Reitz,male,white
238,Elizabeth  Auman,female,white
239,Peter  Hetterich,male,white
240,Anna Maria Groninger,female,white
241,George Pfeiffer,male,white
242,Catharina  Emmerich,female,white
243,Michael  Ried,male,white
244,Nicholas  Bopp,male,white
245,Christian  Kobel,male,white
246,Johannes  Schaefer,male,white
247,Adam Hederick,male,white
248,Elizabeth  Harter,female,white
249,Maria Marg Hettrick,female,white
250,Catharina  Zartman,female,white
251,Elizabeth  Kreiss,female,white
252,Henrich  Hahn,male,white
253,Georg  Schaefer,male,white
254,Andries  Harter,male,white
255,Martin  Zartman,male,white
256,1786,unknown,white
257,John Jacob Prosius,male,white
258,Margriet  Kerstetter,female,white
259,Johannes  Bingeman,male,white
260,Christoph Dunkelberger,male,white
261,Michael Derck,male,white
262,Magdalena  Derck,female,white
263,Johannes  Dunkelberger,male,white
264,Leonard  Reitz,male,white
265,Peter Maurer,male,white
266,Catharina  Maurer,female,white
267,Philip  Gerhard,male,white
268,Henrich Schreckengast,male,white
269,Thomas Dapson,male,white
270,Margriet  Dapson,female,white
271,John George Furster,male,white
272,Hann  Forster,unknown,white
273,Jacob Hartter,male,white
274,James Ostman,male,white
275,Margriet  Ostman,female,white
276,Johannes Jr Harter,male,white
277,Catharina  Schreckengast,female,white
278,John George Klinger,male,white
279,Conrath Schreckengast,unknown,white
280,Susannah  Schreckengast,female,white
281,1787,unknown,white
282,Johann Heim,male,white
283,Heim  154,unknown,white
284,Jacob  Stauch,male,white
285,Hendrick  Groninger,male,white
286,Georg Leonhardt Reitz,male,white
287,Henerich Miniam,male,white
288,Miniam  154,unknown,white
289,Hann Georg Brosius,unknown,white
290,John Nicolaus Hederich,male,white
291,Gottfried Kremer,male,white
292,Kremer  154,unknown,white
293,Peter  Maurer,male,white
294,Leonhart Kaufman,male,white
295,Kaufman  154,unknown,white
296,Michael  Schaefer,male,white
297,Johan Adam Rebock,male,white
298,Rebock  154,unknown,white
299,Michael  Rebock,male,white
300,Peter Heim,male,white
301,Wilhelm  Heim,male,white
302,Christian Stutzman,male,white
303,Stutzman  154,unknown,white
304,Georg Schreckengast,male,white
305,Heinrich Daniel,male,white
306,Magdalena  Miller,female,white
307,Nicholas  154,male,white
308,Catharina  Stauch,female,white
309,Kerstetter  154,unknown,white
310,John Georg Schafer,male,white
311,Susannah  Schaefer,female,white
312,Catharina  Hetterich,female,white
313,Jacob Harter,male,white
314,Christoph Henderich,male,white
315,Elizabeth  Schreckengast,female,white
316,Johannes Georg Kerstetter,male,white
317,Elizabeth  Stutzman,female,white
318,Henderich  154,unknown,white
319,Georg  Pfeiffer,male,white
320,Harter  154,male,white
321,Andries  Hatter,male,white
322,Mattheus  Heim,male,white
323,Frederick  Kobel,male,white
324,Hann Georg Pfeiffer,unknown,white
325,Pfeiffer  154,unknown,white
326,Peter  Furst,male,white
327,Johannes Georg Pfeiffer,male,white
328,George  Peiffer,male,white
329,John Adam Hetterich,male,white
330,1788,unknown,white
331,Wilhelm Heim,male,white
332,Valentin Britsch,male,white
333,Anna Maria Lutz,female,white
334,Maria Magdalena Brosius,female,white
335,Reitz  154,unknown,white
336,Hann Nicholas Brosius,unknown,white
337,Kohler  154,unknown,white
338,Gerit  Ochsenreiter,male,white
339,Frederick Kobel,male,white
340,Magdalena Sophia Daniels,female,white
341,Johannes  Lodschar,male,white
342,Bill Rosen,male,white
343,Rosina  154,female,white
344,Christian  Stutzman,male,white
345,Dunkelberger  154,unknown,white
346,Hannes Adam Rebock,male,white
347,John Conrad Haupt,male,white
348,Johannes  Schweinhart,male,white
349,Andries  Emmerich,male,white
350,1789,unknown,white
351,Johannes Nicolaus Fredericks,male,white
352,Johannes George Pfeiffer,male,white
353,Maria Magdalena Pfeiffer,female,white
354,Child  Schaefer,unknown,white
355,Child  Minniam,unknown,white
356,Anna Catherine Fredericksz,female,white
357,Lan  Manneckes,unknown,white
358,Leonard  Keratadter,male,white
359,1790,unknown,white
360,Henrich Daniels,male,white
361,Rauschkolb  154,unknown,white
362,Adam Rebock,male,white
363,Nicholas  Schneider,male,white
364,Philip  Haupt,male,white
365,1791,unknown,white
366,Johann Bingman,male,white
