,canonical,original
0,Henry  Kobel,Henry Kobel
2,John Nicholaus Hedrich,Johan Nicholaus Hedrich
3,Caspar  Kobel,Casper Kobel
4,Johannes  Philips,Johannes Philips
5,Peter  Schmidt,Peter Schmidt
6,Henrich  Baumgardner,Henrich Baumgardner
7,Valentyn  Rehbock,Valentine Rehbock
8,Daniel  Kobel,Daniel Kobel
9,Peter  Fischer,Peter Fischer
10,George  Heim,George Heim
11,Johannes  Ried,Johannes Ried
13,Wilhelm  Thomase,Wilhelm Thomas
15,Johannes  Fischer,Johannes Fischer
16,Ludwig  Schreyer,Ludwig Schreyer
17,Henrich  Kobel,Henrich Kobel
18,Jacob  Miniam,Jacob Miniam
19,Jacob  Oxenreiter,Jacob Oxenreiter
20,Christopher  Hedrich,Christopher Hedrich
21,Nicholas  Hedrich,Nicholaus Hedrich
22,Wilhelm  Forster,Wilhelm Forster
23,Henrich  Kohler,Henrich Kohler
24,Philip  Kunselman,Philip Kunselman
25,George  Forster,George Forster
27,Johannes  Lips,Johannes Lips
28,Johannes  Miller,Johannes Miller
29,Marten  Burgart,Marte Burgart
31,John Henrich Schreckengast,Johan Henrich Schreckengast
32,Peter  Trautman,Peter Trautman
35,Philip  Lofler,Philip Lofler
36,Marten  Heil,Martin Heil
37,Esaias  Althaus,Esaias Althaus
39,Peter  Forster,Peter Forster
41,Peter  Albert,Peter Albert
42,Christopher  Dunckelberger,Christopher Dunckelberger
43,William  Thomassen,William Thomson
47,John George Forst,Johan George Forst
49,John  Philips,Johan Philips
50,John  Bingeman,Johan Bingeman
51,John George Brosius,Johan George Brosius
52,John Nicholaus Brosius,Johan Nicholaus Brosius
53,Henrich  Kohler,Heinrich Kohler
55,Wilhelm  Forst,Wilhelm Forst
56,Marten  Zartman,Martin Zartman
59,Henrich  Reitz,Henrich Reitz
60,Henrich  Croninger,Henrich Croninger
61,Michael  Ried,Michael Ried
64,Andries  Reitz,Andreas Reitz
65,John George Pfeiffer,Johan George Pfeiffer
66,John Jr George,Johan Jr George
67,Mattheus  Winckelman,Mathias Winckelman
68,Conrad  Nicholaus,Conrad Nicholaus
69,John George Borell,Johan George Borell
70,Caspar  Schneider,Casper Schneider
71,Johannes  Bingeman,Johannes Bingeman
72,Philip  Klinger,Philip Klinger
73,Adam  Hedrich,Adam Hedrich
75,Michael  Schaffer,Michael Schaffer
76,Philip  Lofler,Philip Loffler
78,Leonard  Kerstetter,Leonard Kerstetter
79,John  Heim,Johan Heim
82,Henrich  Lofler,Henrich Lofler
85,Henrich  Miniam,Henrich Miniam
87,Johannes Leonard Kaufman,Johann Leonard Kaufman
91,John Andreas Hedrich,Johan Andreas Hedrich
92,Johannes  Herter,Johannes Herter
93,Philip  Klinger,Philipp Klinger
94,George  Krebs,George Krebs
96,Michael  Roth,Michael Roth
104,George  Pfeiffer,George Pfeiffer
105,Henrich  Zartman,Henrich Zartman
107,George  Klinger,George Klinger
108,Philip  Amman,Philip Amman
110,Johannes  Kniss,Johannes Kniss
111,Henrich  Kohler,Henirch Kohler
113,Michael  Reitz,Michael Reitz
114,Johannes  Schaffer,Johannes Schaffer
115,Johannes  Lofler,Johannes Lofler
116,Christopher  Wentzel,Christopher Wentzel
119,Peter  Zartman,Peter Zartman
120,Johannes  Heim,Johannes Heim
123,Jacob  Stauch,Jacob Stauch
125,Michael  Hedrich,Michael Hedrich
126,Jacob  Herter,Jacob Herter
127,Thomas  Dapson,Thomas Dapson
128,Christopher  Dunckelberger,Christopher Dunkelberger
129,Conrad  Schreckengast,Conrad Schreckengast
130,James  Ostman,James Ostman
131,Michael  Dirk,Michael Dirk
132,Peter  Maurer,Peter Maurer
135,John Jacob Brosius,John Jacob Brosius
137,Henrich  Schreckengast,Henrich Schreckengast
138,John George Forster,John George Forster
143,Henry  Croninger,Henry Croninger
144,John Nicholaus Hedrich,John Nicholaus Hedrich
145,George  Schreckengast,George Schreckengast
146,Christian  Stutzman,Christian Stutzman
148,John George Schaffer,John George Schaffer
151,Leonard  Jaufman,Leonard Jaufman
152,Johannes Adam Rehbock,Johann Adam Rehbock
154,Godfrey  Kramer,Godfrey Kramer
157,Henrich  Daniels,Henrich Daniel
162,Johannes  Heim,Johann Heim
163,Peter  Heim,Peter Heim
166,Valentyn  Britsch,Valentine Britsch
167,Wilhelm  Heim,Wilhelm Heim
169,Bill  Rosen,Bill Rosen
171,Friederich  Kobel,Friederich Kobel
173,John Adam Rehbock,Johan Adam Rehbock
176,John George Schaffer,Johan George Schaffer
177,John George Pfeiffer,John George Pfeiffer
178,Adam  Rehbock,Adam Rehbock
179,Henrich  Daniels,Henrich Daniels
181,Mattias  Heim,Mattias Heim
188,John Nicholaus Friederichs,John Nicholaus Friederichs
190,George  Carl,George Carl
192,Michael  Bauers,Michael Bauers
193,Philip  Haupt,Philip Haupt
194,Michael  Rehbock,Michael Rehbock
195,George  Brosius,George Brosius
197,Mattheus  Heim,Matthias Heim
199,Johannes Nicholaus Brosius,Johann Nicholaus Brosius
200,Nicholas  Schneider,Nicholaus Schneider
201,John Jacob Brosius,Johan Jacob Brosius
204,Johannes Adam Schleich,Johann Adam Schleich
208,Mattheus  Heim,Mathias Heim
209,Jacob  Bauman,Jacob Bauman
212,Jacob  Hedrich,Jacob Hedrich
213,Friederich  Miller,Friederich Muller
214,George  Schaffer,George Schaffer
215,Johannes  Brosius,Johannes Brosius
218,Johannes  Koppenheffer,Johannes Koppenheffer
219,Daniel  Rothermel,Daniel Rothermel
220,Jacob  Bingeman,Jacob Bingeman
222,Bernard  Kaufman,Bernard Kaufman
223,John  Schreckengast,John Schreckengast
225,Adam  Henrich,Adam Henrich
230,Paulus  Bein,Paul Bein
231,Adam  Schleich,Adam Schleich
234,Jacob  Renninger,Jacob Renninger
235,Christian  Leitener,Christian Leitener
236,Michael  Billman,Michael Billman
238,Philip  Krick,Philip Krick
241,Johannes  Strohschneider,Johannes Strohschneider
242,Michael  Wolfgang,Michael Wolfgang
243,Peter  Ressler,Peter Ressler
244,Paulus  Bein,Paul Bien
245,Johannes  Schreckengast,Johannes Schreckengast
246,Johannes  Weichen,Johannes Weichen
247,Johannes  Roth,Johannes Roth
250,George Leonard Emmerich,George Leonard Emrich
251,Henrich  Klock,Henrich Klock
255,Nicholas  Brosius,Nicholaus Brosius
257,Michael  Diehl,Michael Diehl
258,Conrad  Haupt,Conrad Haupt
261,Johannes  Maurer,Johannes Maurer
262,Michael  Koppenheffer,Michael Koppenhaffer
263,George  Greib,George Greib
264,Philip  Diehl,Philip Diehl
265,Christian  Roth,Christian Roth
267,Johannes  Schreckengast,Johann Schreckengast
269,Jacob  Chester,Jacob Chester
271,Jacob  Philips,Jacob Philip
273,Jacob  Eister,Jacob Eister
277,Abraham  Brosius,Abraham Brosius
278,Peter  Henrich,Peter Henrich
279,Antoine  Wehry,Anthony Wehry
280,Jacob  Klock,Jacob Klock
281,Friederich  Rausch,Friedrich Rausch
283,Leonard  Kaufman,Leonard Kaufman
285,Johannes  Haas,Johannes Haas
286,Christopher  Berkhaus,Christopher Berkhaus
289,Johannes  Maurer,Johann Maurer
290,Simon  Scherman,Simon Scherman
291,Godfrey  Thomase,Godfrey Thomas
293,Bennert  Emmerich,Bennert Emrich
294,Johannes  Orendorf,Johann Orendorf
296,Johannes  Schaffer,Johann Schaffer
297,Jacob  Austerly,Jacob Austerly
298,Mattheus  Koppenheffer,Mathias Kopenhaffer
301,Johannes  Hepler,Johannes Hepler
303,Philip  Krick,Philip Kruck
308,Jacob  Traub,Jacob Traub
309,Andries  Geist,Andreas Geist
310,Johannes Conrad Haupt,Johann Conrad Haupt
311,Philip  Borell,Philip Borrel
312,Henrich  Kohler,Henrich Kehler
313,George  Tolb,George Tolb
314,Johannes  Koppenheffer,Johann Kopenhaffer
315,Christian  Kohl,Christian Kohl
317,Peter  Ressler,Peter Resler
319,Henrich  Cronginger,Henrich Cronginger
320,Johannes  Brosius,Johann Brosius
321,George  Kohler,George Kehler
327,William  Heim,William Heim
328,Paulus  Bein,Paulus Bien
329,John Philipse Haupt,Johan Philip Haupt
333,Christopher  Berkhaus,Christopher Birckhaus
339,Peter  Hedrich,Peter Hedrich
341,Leonard  Emmerich,Leonard Emerich
342,Johannes  Ried,Johannes Reid
343,Christopher  Roth,Christopher Roth
344,Jacob  Schmidt,Jacob Schmidt
346,Peter  Klock,Peter Klock
350,Christian  Forster,Christian Forster
353,Christian  Thomase,Christian Thomas
354,George  Tolb,George Delb
356,Jacob  Reiner,Jacob Reiner
357,Johannes  Wagener,Johannes Wagner
359,Jacob  Thomase,Jacob Thomas
363,Michael  Kaderman,Michael Kaderman
364,Johannes  Kohler,Johannes Kehler
368,Adam  Heim,Adam Heim
370,Johannes  Derr,Johannes Derr
371,Christopher  Hepler,Christopher Hepler
372,Daniel  Doffy,Daniel Doffy
