,canonical,original
37851,Margriet  Jansen,Margrit Jansen
37854,Annetjen  Begyn,Annaatjen Begyn
37856,Brechie  Teerpenning,Bregje Teerpenning
37860,Catharina A Vleet,Catharina a Vliet
37864,Margery  Kool,Margerie Cool
37869,Annatie  Paessen,Annatjen Bieseyn
37871,Marretjen  Ploeg,Marretjen Ploeg
37872,Catharina  Kool,Catharina Kool
37876,Arend  Kierstede,Arriantje Kierstede
37878,Catharina  Steenberg,Catharina Steenbergen
37884,Sara  Doejou,Zara de Joo
37888,Catharina  Helm,Catharina Helm
37889,Maritie  Smith,Marretje Schmid
37890,Enn Mareitje Swaart,Anna Mareitje Swart
37893,Elizabeth  Snyder,Elisabeth Snyder
37896,Ariaantjen A Brown,Ariaantjen a Bueren
37899,Helena Van Etten,Lena van Etten
37906,Marretjen Le Febure,Marretjen Lefeber
37908,Wyntie  Doejou,Wyntje Dijo
37909,Tryntjen  Bentsem,Tryntjen Bentsem
37910,Molly  Poitiere,Mally Potter
37914,Neeltjen  Grieks,Neeltjen Greeks
37915,Esther  Bevery,Esther Bever
37924,Wyntie  Broodheed,Wyntje Bradhaed
37929,Evaa  Borchert,Eva Borchert
37932,Margriet  Schepmoes,Margriet Schepmoes
37935,Orsel  Frolich,Ursula Vrolich
37940,Maritie  Elysse,Marytje Wels
37947,Franscynjen  Veel,Franscynjen Viele
37952,Annetjen  Tungjen,Antjen Tungjen
37955,Annetjen Ten Broecq,Annaatjen ten Broek
37960,Maria A Wagening,Maria a Wagening
37961,Jannekjen  Brinck,Janken Brink
37963,Catharina  Schuyler,Catarina Schuyler
37964,Annatie  Keeter,Antje Keter
37965,Geurt Van Vleet,Grietje van Vliet
37970,Neeltie  Broodheed,Neeltje Braedhaed
37972,Magdalena  Lefevre,Magdalena Lefevre
37981,Enn  Peers,Anne Bres
37982,Judike Van Vleet,Judik van Vliet
37988,Weyntjen  Paelingh,Annaatjen Peeling
37989,Annatie  Brinck,Annaatje Brink
37998,Cornelia  Kantyn,Cornelia Kantein
38001,Maria Salimia Van Steenberg,Maria Salamia van Steenbergen
38002,Helena  Smedes,Lena Smedes
38003,Maria  Crom,Meery Krom
38008,Catharina  Mayer,Catharina Meyer
38011,Gerritjen A Buntschoten,Gerretjen a Buntschoten
38012,Elizabeth  Smith,Elisabeth Schmid
38014,Elizabeth  Andero,Elisabeth Andero
38015,Grietjen  Hoffman,Grietjen Hofman
38017,Magdalena  Jansz,Magdalena Jansz
38024,Catharina  Hardenbroek,Catharina Herdenberg
38025,Maria  Broodheed,Maria Bradhaed
38029,Lydia  Schoenmaker,Lidia Schoonmaker
38031,Gerritjen Van Buntschoten,Gerretjen van Buntschoten
38034,James  Eduwart,Jeems Ooterhout
38038,Hester  Gomaar,Hester Gumar
38041,Maria Barbara Graft,Maria Barbara Kraft
38042,Elizabeth  Kreller,Elisabeth Kreller
38047,Hennetje  Zeger,Hennetje Seger
38051,Elizabeth  Hoffman,Elisabeth Hofman
38056,Enn Mareytjen Van Gaasbeeck,Anna Mareytjen van Gaasbeek
38062,Margriet  Beesharen,Margriet Beesharen
38069,Selitje Du Lameetere,Seletje Delameter
38073,Sara  Rapelje,Zara Rappelje
38075,Elizabeth Du Lameetere,Elisabeth Delameter
38079,Nelly  Bosch,Nelli Bosch
38081,Engeltie  Heromans,Engeltje Heermanse
38085,Maria  Paelingh,Mary Paling
38086,Catharina  Ryckman,Catharina Reikman
38088,Claartie  Westfael,Claartje Westval
38095,Margriet  Sluyter,Margriet Sluiter
38099,Rebecca  Konstapel,Rebecca Constabel
38100,Geertje  Oosterwout,Geertje Osterhout
38103,Marretjen  Bogardus,Mareitjen Bogardus
38104,Abraham Abrahamse Low,Abraham Abrahamse Louw
38105,Barbara  Kraftin,Barbara Kraftin
38110,Enn Maria Van Bergen,Anna Maria van Bergen
38111,Magdalena  Lefevre,Magdalena Lefever
38116,Catharina  Broodheed,Catharina Bradhaed
38117,Helena  Oosterwout,Helena Osterhout
38120,Susanna  Puits,Susanna Bettis
38123,Lowi  Smith,Lea Schmid
38127,Elizabeth  Andero,Elisabeth Andro
38130,Sara  Wesbrook,Sara Haasbrouck
38134,Taadje Van Benschooten,Taatje van Bunschoten
38135,Annatie  Teerpenning,Annaatje Teerpenning
38136,Catharina Van Aalstein,Catharina van Aalstein
38140,Margriet  Miller,Margriet Muller
38144,Maria  Geerner,Maria Geerner
38147,Elizabeth Du Bois,Elisabeth Depue
38150,Metge  Swaart,Metge Swart
38155,Nelly  Magenni,Nelli Magenni
38157,Maritie  Tack,Marretje Tak
38163,Rachel Du Mon,Rachel Dumon
38184,Cornelia  Walron,Cornelia Walron
38188,Sara  Welleven,Sara Wulfin
38189,Annatie  Low,Annaatje Louw
38196,Elizabeth  Donnely,Elisabeth Donnel
38203,Maria  Hall,Maria Wol
38213,Grietjen  Oosterwout,Grietjen Osterhout
38214,Annatie  Turk,Annaatje Turk
38229,Margriet  Elmendorff,Margreta Elmendorf
38232,Maritie Du Wit,Mareitje De Wit
38235,Blandina  Tenbroek,Blandina Tenbroek
38242,Neeltie  Davenport,Neeltje Deffenpoort
38244,Sara  Claerwater,Sara Klaarwater
38252,Eegje  Frere,Eegje Freer
38259,Annatie  Decker,Annaatje Wittaker
38261,Enn  Peele,Anna Pele
38262,Helena Du Bois,Lena Dubois
38263,Antonette Van Cleeck,Antonette van Kleek
38269,Annatie  Bekker,Antje Bakker
38272,Elizabeth  Tenbroek,Elisabeth Tenbroek
38280,Trentje  Bensen,Treintje Benson
38281,Jannitie  Elmendorff,Jenneke Elmendorph
38282,Margriet  Decker,Margriet Wittaker
38287,Tjadje  Tappen,'Tjaadje Tappen
38288,Maritie  Macklin,Mareitje Maclin
38302,Maritie Du Puy,Mareitje Dubois
38304,Maria  Langendyk,Maria Langendyk
38321,Hilletie  Schoenmaker,Hilletje Schoonmaker
38322,Catharina  Maris,Catharina Mayers
38331,Regina,Regina
38335,Elizabeth Van Bomme,Elisabeth van Bom
38337,Elizabeth  Eejn,Elisabeth Hein
38338,Magdalena  Graft,Magdalena Graft
38344,Margriet Ten Broecq,Margrieta ten Broek
38350,Margriet  Beesharen,Margriet Beeshaarn
38355,Enn Meyer Schierke,Anna Maria Schierke
38360,Helena  Sluyter,Helena Sluiter
38361,Maritie  Koeck,Marretje Kock
38362,Annatie  Westerfelt,Annaatje Westerfelt
38364,Maritie  Hardenbroek,Marretje Hardenberg
38370,Catharina Van Weye,Catharina Van Wie
38371,Sara  Revers,Sara Revers
38374,Elizabeth  West,Elisabeth Wust
38376,Geurt Van Buntschoten,Gerretje van Bentschoten
38388,Neeltie  Grieks,Neeltje Grieks
38394,Jannitie Van Vleet,Jenneke van Vliet
38401,Margriet  Lefevre,Margriet Lefever
38407,Margriet  Nies,Margriet Hannes
38417,Maria  Grahems,Mary Grahams
38427,Arend Van Etten,Arriantje van Etten
38431,Elizabeth  Bomme,Elisabeth Bem
38435,Elizabeth Van Wagener,Elisabeth van Wagenen
38438,Helena  Kernoel,Lena Grennel
38439,Trentje  Dubois,Treintje Dubois
38440,Maritie  Schmidt,Mareitje Schmidt
38446,Margriet Van Brown,Margriet van Buren
38452,Elizabeth  Peele,Elisabeth Beli
38457,Arend  Decker,Arriantje Dekker
38460,Helena Van Etten,Helena van Etten
38462,Maria  Fort,Maria Fort
38467,Hildegond  Peeringer,Hillegonda Berringer
38474,Elizabeth,Elisabetha
38476,Maritie  Smith,Mareitje Schmid
38479,Evaa  Been,Eva Binneway
38480,Margriet  Bomme,Margriet Beem
38487,Margretha  Stooks,Margretha Stooks
38488,Margriet Ten Broecq,Margriet Ten Broek
38498,Catharina Du Mon,Catharina Dumon
38499,Christina  Veel,Christina Viele
38502,Annatie  Swaart,Antje Swart
38509,Enn Du Wit,Anne Dewit
38512,Geertje  Nottingham,Geertje Nottingham
38521,Maritie  Prall,Mareitje Praal
38522,Elizabeth  Schamer,Elisabeth Schamer
38526,James  Mcdonnel,James McDonnel
38529,James  Mcdonnel,James Mcdonnel
38533,Maria  Keller,Maria Keller
38535,Annatie  Hooghtaelingh,Annaatje Hoogteeling
38541,Britschet  Wells,Britschet Wels
38543,Geurt  Benschooten,Gerretje Benschoten
38548,Hillegondth  Peeringer,Hillegunda Berringer
38549,Selitje Du Lameetere,Seletje de Lameter
38551,Margriet  Hoef,Margrietje Hof
38555,Elizabeth Van Bomme,Elisabeth van Bomme
38562,Debora Van Bomme,Debora van Bomme
38566,Sara Van Benschooten,Sara van Benschoten
38567,Enn  Bevier,Anna Bevier
38571,Mayke  Chrispel,Maike Crispel
38573,Hagetta  Doejou,Hagetta Dijo
38574,Annatie  Reiners,Annaatje Reinnerse
38578,Helena  Fevere,Helena Fevre
38580,Sara  Burhans,Sara Burhans
38589,Maritie  Kipp,Marretje Kip
38590,Maria  Paelingh,Maria Plank
38593,Enn Mareitje Van Gaasbeeck,Anne Mareitje van Gaasbeek
38596,Jannitie  Hardenbroek,Jenneke Hardenberg
38598,Agetta  Doejou,Agetta Dijo
38599,Trentje  Schoenmaker,Treintje Schoonmaker
38602,Annatie  Gardenier,Annaatje Gardenier
38603,Neeltie  Du Mon,Neeltje Dumont
38606,Maria  Jooste,Maria Joost
38611,Catharina  Bekker,Catharina Bakker
38614,Margriet  Jong,Margriet Jong
38618,Johannes  Wesbrook,Jonas Haasbrouck
38621,Margriet  Schuive,Margrita Scheef
