,canonical,original
0,Jacob  Kern,Jacob Kern
1,John  Bekker,John Becker
2,William  Gerhard,William Gerhard
3,Adam  Herwitt,Adam Herwitt
4,John  Schweindt,John Schweindt
5,Jacob  Bum,Jacob Bum
6,Jacob  Hausmann,Jacob Hausmann
7,Michael  Haan,Michael Haan
8,Peter  Nygh,Peter Nygh
9,Valentyn  Leonhardt,Valentine Leonhardt
10,John George Brunner,John George Brunner
11,Philip  Andre,Philip Andre
12,David  Ivens,David Ivens
13,Richard  Meigs,Richard Meigs
14,Christopher  Scheibler,Christopher Scheibler
15,Ludwig  German,Ludwig German
16,Henry  Rohrer,Henry Rohrer
17,George Theobald Hoffstetler,George Theobald Hoffstetler
18,Michael  Schlatter,Michael Schlatter
19,John Philipse Weinheimer,John Philip Weinheimer
20,John Henry Klemer,John Henry Klemer
21,Caspar  Bindschaedler,Casper Bindschaedler
22,John Peter Mohr,John Peter Mohr
23,Conrad  Bekker,Conrad Becker
24,Martin  Grieder,Martin Grieder
25,Michael  Bekker,Michael Becker
26,John  Beisser,John Beisser
27,George  Bekker,George Becker
28,John Peter Pfeiffer,John Peter Pfeiffer
29,John Jacob Walter,John Jacob Walter
30,Mattheus  Sehrot,Matthias Sehrot
31,Peter  Wegelin,Peter Wegelin
33,Peter  Taubert,Peter Taubert
34,John Bernard Laufferschweiler,John Bernard Laufferschweiler
35,John  Steigenberger,John Steigenberger
36,Valentyn  Smith,Valentine Schmid
37,Philip Peter Walter,Philip Peter Walder
38,Nicholas  Riebel,Nicholas Riebel
39,Ulrich  Seibel,Ulrich Seibel
40,John  Schweindt,John Schwendt
41,John Peter Haan,John Peter Haan
42,John Jacob Rau,John Jacob Rau
43,Christian  Zuder,Christian Zuder
44,John Jacob Fisler,John Jacob Fisler
45,Theobald  Diel,Theobald Diel
46,John  Wolff,John Wolff
47,Frederick  Thor,Frederick Thor
48,Antoine  Herb,Anthony Herb
49,Jacob  Maerkli,Jacob Maerkli
50,John  Conrad,John Conrad
51,Andrew  Klemer,Andrew Klemer
53,John George Bender,John George Bender
54,Leonard  Melchior,Leonard Melchior
56,John  Stryker,John Striker
57,Daniel  Steinmetz,Daniel Steinmetz
58,Jacob  Hess,Jacob Hess
59,Jacob  Daubendistel,Jacob Daubendistel
60,Jacob  Frack,Jacob Frack
61,Rudolph  Buchy,Rudolph Buchy
62,Caspar  Weidman,Casper Weidman
63,Valentyn  Trop,Valentine Trop
64,Jacob  Hausmann,Jacob Hausman
65,Caspar  Bossart,Casper Bossart
66,John Philipse Weinheimer,John Philip Wynheimer
67,John  Beltz,John Beltz
70,Jacob  Utre,Jacob Utre
71,Valentyn  Bayer,Valentine Bayer
72,Samuel  Zuder,Samuel Sutter
73,John George Schneider,John George Schneider
74,Alexander  Satler,Alexander Satler
75,Jacob  Pfister,Jacob Pfister
76,Michael  Slatter,Michael Slatter
77,Adam  Schneider,Adam Schneider
78,Nicholas  Jost,Nicholas Jost
79,Franciscus  Jay,Franciscus Jay
80,Adam  Keck,Adam Keck
81,John  Dewald,John Dewald
83,John Gerhard Schneider,John Gerhard Schneider
84,John Joseph Blacher,John Joseph Blacher
85,Henry  Klemer,Henry Klemmer
86,John Christian Birkenbeil,John Christian Birkenbeil
87,Ulrich  Mischler,Ulrich Mischler
88,Christian  Lentz,Christian Lentz
89,Henry  Bayer,Henry Baur
90,Henry  Glenz,Henry Glenz
91,Valentyn  Leonhardt,Valentine Leonhard
92,John  Meininger,John Meininger
93,John  Friederich,John Friederich
94,John  Haselvanger,John Haselvanger
95,Simon  Pilanus,Simon Pilanus
96,Jacob  Weidman,Jacob Witman
97,John Moses Ganty,John Moses Ganty
98,John Michael Hartman,John Michael Hartman
99,Frederick  Maus,Frederick Maus
100,Andrew  Gempeler,Andrew Gempeler
101,Henry  Weinheimer,Henry Wynheimer
102,John Peter Magold,John Peter Magold
103,John  Grieder,John Grieder
104,Christian Matthew Gobeler,Christian Matthew Gobeler
105,John  Waal,John Waal
106,John William Weber,John William Weber
107,Christian  Baechly,Christian Baechly
108,Frederick  Haan,Frederick Haehne
109,Nicholas  Leiser,Nicholas Leiser
110,John  Rudy,John Rudy
111,Jacob  Remy,Jacob Remy
112,John Michael Schwob,John Michael Schwob
114,Conrad  Geidlinger,Conrad Geidlinger
115,Jacob  Waisner,Jacob Waisner
116,Jacob  Sched,Jacob Sched
118,Christian Van Erden,Christian van Erden
119,Jacob  Reuthlinger,Jacob Reuthlinger
122,Albert  Luez,Albert Luez
123,John Jacob Sisler,John Jacob Sisler
124,Gartner,Gartner
125,Thomas  Bruch,Thomas Bruch
127,John  Meggendorfer,John Meggendorfer
128,Peter  Nygh,Peter Neig
129,George  Brunner,George Brunner
130,Philip  Satler,Philip Staller
131,Rudolph  Ramp,Rudolph Ramp
132,Mattheus  Abel,Matthias Abel
133,Etienne  Consul,Etienne Consul
134,Jacob  Walter,Jacob Walter
136,Robert  Robert,Robert Roberts
137,Mattheus  Stitwohl,Matthias Stitwohl
138,Peter  Wilhelm,Peter Wilhelm
139,Sebastian  Faeh,Sebastian Faeh
140,John Henry Seidensticker,John Henry Seidensticker
141,John Ernest Kraemer,John Ernest Kraemer
142,Michael  Rumel,Michael Rumel
143,John Martin Obersteg,John Martin Obersteg
145,Caspar  Klockner,Casper Klockner
146,John  Graf,John Graf
147,John George Kraemer,John George Kraemer
148,John Jacob Hill,John Jacob Hill
149,Peter  Haan,Peter Haan
150,Ulrich  Seibel,Ulrich Seipel
151,Balthazar  Kern,Balthasar Kern
152,Peter  Schweighard,Peter Schweighard
153,John  Haselvang,John Haselvang
154,Jacob  Prank,Jacob Prank
157,John  Huth,John Huth
158,Henry  Zuder,Henry Sauter
159,Mattheus  Kolb,Matthias Kolb
160,Valentyn  Schmied,Valentine Schmied
161,John Peter Steigenberger,John Peter Steigenberger
162,Thomas  Rotter,Thomas Rotter
163,John Peter Obersteg,John Peter Obersteg
164,Philip  Weinheimer,Philip Wynheimer
167,Mattheus  Schrott,Matthias Schrott
169,John  Grebil,John Grebil
171,Christian  Gelliger,Christian Gelliger
172,Henry  Schiffler,Henry Schiffler
173,Abraham Ab Der Halden,Abraham ab der Halden
174,Jacob  Roth,Jacob Roth
175,John Christian Sisler,John Christian Seiler
176,John Jacob Seelbach,John Jacob Seelbach
177,John George Mitteberger,John George Mitteberger
178,Frederick David Schakar,Frederick David Schakar
179,John  Frank,John Frank
180,John Rudolf Forer,John Rudolf Forer
182,John  Hoffman,John Hoffman
185,Philip  Haller,Philip Haller
186,Peter  Nygh,Peter Neigh
187,John  Ruebsamen,John Ruebsamen
188,Jacob  Reinhold,Jacob Reinhold
189,Jacob  Bleikenstorffer,Jacob Bleikenstorffer
190,Michael  Rumel,Michael Rummel
191,Christian  Luez,Christian Lies
192,Jacob  Waisner,Jacob Weisner
193,Michael  Kress,Michael Kress
194,Sebastian  Faeh,Sebastian Fay
195,Ludwig  Schroeder,Ludwig Schroeder
198,Sirach  Tschudy,Sirach Tschudy
199,Peter  Karg,Peter Karg
201,Arnold  Kraemer,Arnold Kraemer
204,Martin  Weissenbach,Martin Weissenbach
205,Abraham  Reinhard,Abraham Reinhard
206,John  Wuergler,John Wuergler
207,Jacob  Huser,Jacob Huser
208,Henry  Brunner,Henry Brunner
209,Jacob  Saehly,Jacob Saehly
210,Carl Ludwig Weiss,Carl Ludwig Weiss
211,Rudolph  Buchy,Rudolph Buechy
212,John  Slatter,John Slattor
213,John Piere Rolief,Jean Piere Rolief
214,Jacob  Stamm,Jacob Stamm
215,John Ludwig Hess,John Ludwig Hess
216,Caspar  Klockner,Casper Kloeckner
218,John  Spaeth,John Spaeth
219,Joseph  Funk,Joseph Funk
220,Isaac  Burgund,Isaac Burgund
222,John George Drescher,John George Drescher
223,Henry  Rieg,Henry Rieg
224,John Rudolf Ruebsamen,John Rudolf Rubsamen
225,Valentyn  Hoffman,Valentine Hoffman
226,Joost  Miehler,Jost Miehler
229,Daniel  Baechly,Daniel Bachly
230,Christian  Gelliger,Christian Gilliger
232,John  Schrick,John Schrick
233,Henry  Bachman,Henry Bachman
234,Jacob  Kress,Jacob Kress
235,----  Kutsch,---- Kutsch
236,Conrad  Schlemer,Conrad Schlemer
238,----,
239,Isaac  Lefeber,Isaac LeFeber
240,Abraham  Sewitz,Abraham Sewitz
242,David  Jurnal,David Jurnal
243,Peter  Magold,Peter Magold
244,Baltasar  Selzer,Baltasar Selzer
245,Carl  Gaemperli,Carl Gaemperli
246,John George Kramp,John George Kramp
247,Philip  Elgard,Philip Elgard
248,Christian Matthew Gebeler,Christian Matthew Gebeler
249,Henry  Bayer,Henry Baer
250,Conrad  Maag,Conrad Maag
251,William  Klampfert,William Klampfert
252,Daniel  Reiss,Daniel Reiss
253,Martin  Waal,Martin Wall
254,Rudolph  Huber,Rudolf Huber
255,Andrew  Hill,Andrew Heil
256,Jacob  Kloeti,Jacob Kloeti
257,Andrew  Oberdorf,Andrew Oberdorf
258,John  Rudy,John Rudi
260,Martin  Weisbach,Martin Weisbach
261,John  Schreiber,John Schreiber
262,Jacob  Ruegy,Jacob Ruegy
263,Caspar  Scherer,Casper Scherer
264,John  Loehr,John Loehr
265,John Just Orlop,John Just Orlop
266,Jacob  Bayer,Jacob Baer
267,Conrad  Smith,Conrad Schmid
268,Jacob  Waespi,Jacob Waespi
269,Peter  Diel,Peter Diehl
270,John Jacob Mitschet,John Jacob Mitschet
271,Michael  Weber,Michael Weber
273,John  Jacob,John Jacob
274,John Bernard Haan,John Bernard Hahn
275,George  Wacke,George Wacke
276,Philip  Sulzbach,Philip Sulzbach
277,John  Bigonet,Jean Bigonet
278,Nicholas  Hess,Nicholas Hess
280,Philip  Bum,Philip Boehm
282,John Frederick Schitt,John Frederick Schitt
283,Jacob  Renot,Jacob Renot
284,Albrecht  Eschelman,Albrecht Eschelman
286,George  Nonius,George Nonius
287,John Peter Loehr,John Peter Lahr
288,John  Brandt,John Brand
289,Michael  Haan,Michael Weyn
290,Peter Du Corbier,Peter du Corbier
291,George  Weyn,George Wen
292,Abraham  Eschelman,Abraham Eschelmann
294,George  Fanz,George Fanz
295,Mattheus  Hill,Matthias Hohl
296,Jacob  Hill,Jacob Hill
298,Christian  Gugger,Christian Gugger
