,canonical,original
2437,Michael  Hoeker,Michel Hoeker
2452,Herne:  Roelofson,Herne: Roelofson
2470,Philip  Heiler,Phil Hiler
2475,Frederick  Bartelszen,Frederic Bartels
2477,Peter Van Buskirk,Peter van Buskerk
2482,Abraham Van Horne,Abram Van Horn
2486,Johannes  Hildebrand,Johs Hildebrand
2493,Johannes  Kirk,Johannes Kirk
2494,Christian  Ort,Christian Ort
2495,Gertroud  Muhlheim,Gertroud Muhlheim
2498,Geo  Benghard,Geo Benghard
2499,And  Miller,And Miller
2501,Andr  Bartelszen,Andrw Bartels
2506,Henry  Hoffman,Henry Hoffman
2509,Henry  Pikel,Henry Pickel
2515,Wife Of Phil Dorrenberger,wife of Phil Dorrenberger
2517,Wife Of Matthias Abel,wife of Matthias Abel
2524,Wife Of David Tremer,wife of David Tremer
2526,Wife Of George Fritz,wife of George Fritz
2527,Wife Of Jacob Abel,wife of Jacob Abel
2529,Wife Of Freder: Fritz Sr,"wife of Freder: Fritz, Sr,"
2534,Wife Of John Abel,wife of John Abel
2535,Wife Of Wm Petrj,wife of Wm Petrj
2536,Wife Of Frederik Fritz,wife of Frederik Fritz
2552,Maria  Dennis,Maria Dennis
2557,Wife Of Thos Boskerk Sr,wife of Thos Boskerk Sr
2559,Wife Of Thos Buskirk,wife of Thos Boskerk
2561,Wife Of Jacob Leininger,wife of Jacob Leininger
2562,Wife Of Georg Mohr Sr,wife of Georg Mohr Sr
2563,Sellj  Head,Sellj Head
2566,Wife Of John Mcintir,wife of John McIntir
2567,Wife Of Christoph Schuler,wife of Christoph Schuler
2572,Wife Of Henry Schweitzer,wife of Henry Schweitzer
2574,Wife Of John Plum Esqr,wife of John Plum Esqr
2575,Wife Of Frederik Bartels Sr,wife of Frederik Bartels Sr
2580,Wife Of Christian Deger,wife of Christian Deger
2581,Wife Of Charles Eversohl,wife of Charles Eversohl
2582,Wife Of Wilhelm Graaf,wife of Wilhelm Graaf
2583,Elizabeth  Eversohl,Elisabet Eversohl
2593,Wife Of John Schurtz Sr,"wife of John Schurtz Sr,"
2594,Wife Of Thomas Buskirk,wife of Thomas Boskerk
2599,Wife Of Abrm Lunger,wife of Abrm Lunger
